,foil,isotope,fit,cov
0,Ni01,56NI,5892.255961098559,132053.64331756398
1,Ni02,56NI,6452.115588987536,212983.09306693458
2,Ni03,56NI,7092.903312033383,143785.00630462563
3,Ni04,56NI,7190.371295119392,187062.96638645194
4,Ni05,56NI,5673.308675338074,111352.22897063015
5,Ni06,56NI,4156.438983925485,19797.210485232168
6,Ni07,56NI,2022.8464738313105,2858.4438137969696
7,Ni08,56NI,2490.0577457942973,7074.154630009683
8,Ni09,56NI,982.1416201809044,1249.2075406422325
9,Ni10,56NI,612.082811629826,400.7958380139171
10,Ni11,56NI,261.0832524969257,157.56284254220324
11,Ni12,56NI,0.0,0.0
12,Ni13,56NI,0.0,0.0
13,Ni14,56NI,0.0,0.0
