,foil,isotope,fit,cov
0,Ta01,177TA,414696.50862183544,572886517.8547803
1,Ta02,177TA,503512.0151063671,815196240.46211
2,Ta03,177TA,440386.86594159354,477420841.28735596
3,Ta04,177TA,126982.77182625378,22561773.6303804
4,Ta05,177TA,19531.87747722547,1613641.1899735704
5,Ta06,177TA,0.0,0.0
6,Ta07,177TA,321.09587873832845,121638.27981828725
7,Ta08,177TA,567.1043536299677,98662.11058276442
8,Ta09,177TA,0.0,0.0
9,Ta10,177TA,0.0,0.0
10,Ta11,177TA,0.0,0.0
11,Ta12,177TA,0.0,0.0
12,Ta13,177TA,0.0,0.0
13,Ta14,177TA,0.0,0.0
