,foil,isotope,fit,cov
0,Ta01,180HFm,29287.10389760434,123178175.92189233
1,Ta02,180HFm,9812.31117211607,57939211.96069533
2,Ta03,180HFm,8859.938793294581,7856733.563684703
3,Ta04,180HFm,2504.4908274534987,3504299.704002108
4,Ta05,180HFm,3930.340219146014,2326587.6873503565
5,Ta06,180HFm,967.3393212498826,243756.20439559928
6,Ta07,180HFm,763.3713546973003,61626.98059824121
7,Ta08,180HFm,592.4408467899029,50874.898149383516
8,Ta09,180HFm,165.76712325188217,1666.4098969437198
9,Ta10,180HFm,20.792597208367173,50.29901844582077
10,Ta11,180HFm,0.0,0.0
11,Ta12,180HFm,0.0,0.0
12,Ta13,180HFm,0.0,0.0
13,Ta14,180HFm,0.0,0.0
