,foil,isotope,fit,cov
0,Cu01,63ZN,1463563.2474950636,1374607298.1113315
1,Cu02,63ZN,2071450.005215636,5261879299.305793
2,Cu03,63ZN,2902185.0253141024,12656703203.260466
3,Cu04,63ZN,3927442.3361604186,22719150162.26938
4,Cu05,63ZN,4686931.9620273,16025645531.165245
5,Cu06,63ZN,4620040.801501057,20561959697.253643
6,Cu07,63ZN,3376566.406872889,6809968120.963525
7,Cu08,63ZN,3980392.985656727,5180018459.714388
8,Cu09,63ZN,2401302.025893805,2683992581.7864614
9,Cu10,63ZN,2499334.1799909985,5670377690.113074
10,Cu11,63ZN,5380456.901901516,113066423850.85194
11,Cu12,63ZN,21901840.674826145,1331165427449.8704
12,Cu13,63ZN,25772789.695284925,1901495572501.1663
13,Cu14,63ZN,10986567.425197637,391187109237.29395
