,foil,isotope,fit,cov
0,Cu01,62CU,0.0,0.0
1,Cu02,62CU,0.0,0.0
2,Cu03,62CU,0.0,0.0
3,Cu04,62CU,1000000.0,0.0
4,Cu05,62CU,1000000.0,0.0
5,Cu06,62CU,2886127442405.1147,2.082987165975319e+25
6,Cu07,62CU,16705203100.448011,4.917271011420096e+20
7,Cu08,62CU,44460433.69917897,641614860459998.5
8,Cu09,62CU,94812506.65539034,3521864472261602.0
9,Cu10,62CU,155678818.31039762,1.9158224058969156e+16
10,Cu11,62CU,189555297.0970621,3.3377519698826296e+16
11,Cu12,62CU,1000000.0,0.0
12,Cu13,62CU,0.0,0.0
13,Cu14,62CU,0.0,0.0
