,foil,isotope,fit,cov
0,Cu01,61CU,0.0,0.0
1,Cu02,61CU,0.0,0.0
2,Cu03,61CU,0.0,0.0
3,Cu04,61CU,4263104.502171609,1419926290.1200676
4,Cu05,61CU,4285602.65912278,2894741583.431689
5,Cu06,61CU,3497120.107097495,3046729508.561859
6,Cu07,61CU,1757046.3830412852,540266281.9539496
7,Cu08,61CU,2012320.3162523592,3456868782.2079883
8,Cu09,61CU,616049.846464057,137506154.9838832
9,Cu10,61CU,77968.50176859951,8508952.005358545
10,Cu11,61CU,45737.11797893636,1728952.4984566001
11,Cu12,61CU,0.0,0.0
12,Cu13,61CU,0.0,0.0
13,Cu14,61CU,0.0,0.0
