,foil,isotope,fit,cov
0,Cu01,55FE,0,0
1,Cu02,55FE,0,0
2,Cu03,55FE,0,0
3,Cu04,55FE,0,0
4,Cu05,55FE,0,0
5,Cu06,55FE,0,0
6,Cu07,55FE,0,0
7,Cu08,55FE,0,0
8,Cu09,55FE,0,0
9,Cu10,55FE,0,0
10,Cu11,55FE,0,0
11,Cu12,55FE,0,0
12,Cu13,55FE,0,0
13,Cu14,55FE,0,0
