,foil,isotope,fit,cov
0,Ni01,60CU,153011920.51112008,1.2384549226986096e+16
1,Ni02,60CU,141878551.0988322,1.0209374736074454e+16
2,Ni03,60CU,196444915.08332318,5.4651039726118696e+16
3,Ni04,60CU,49127415.34057181,2260287585354223.5
4,Ni05,60CU,0.0,0.0
5,Ni06,60CU,1000000.0,0.0
6,Ni07,60CU,1000000.0,0.0
7,Ni08,60CU,1000000.0,0.0
8,Ni09,60CU,1000000.0,0.0
9,Ni10,60CU,0.0,0.0
10,Ni11,60CU,99200393.79960056,2128803691550929.8
11,Ni12,60CU,0.0,0.0
12,Ni13,60CU,35927569.82179674,835911179266560.6
13,Ni14,60CU,0.0,0.0
