,foil,isotope,fit,cov
0,Cu01,64CU,0.0,0.0
1,Cu02,64CU,0.0,0.0
2,Cu03,64CU,454543.5875270624,215918705.24814013
3,Cu04,64CU,485567.9421048615,351061765.41258526
4,Cu05,64CU,499892.6780954053,73353868.47346506
5,Cu06,64CU,556456.8081933238,151310019.56664893
6,Cu07,64CU,671687.1417132448,522662989.60839945
7,Cu08,64CU,713279.8805257431,7083612908.072824
8,Cu09,64CU,905778.1496666793,282829973.5587821
9,Cu10,64CU,906034.2433001874,759815098.0724967
10,Cu11,64CU,617903.3563868891,95759352.15352543
11,Cu12,64CU,114401.35900316572,26835276.472873177
12,Cu13,64CU,0.0,0.0
13,Cu14,64CU,0.0,0.0
