,foil,isotope,fit,cov
0,Cu01,58CO,1568.0856119612165,6302.795524567167
1,Cu02,58CO,2089.014069689812,17400.67404130397
2,Cu03,58CO,2802.7727576732573,36856.65546347427
3,Cu04,58CO,2609.7528789126072,27799.972727418284
4,Cu05,58CO,2259.6381448313145,23453.625569448963
5,Cu06,58CO,1331.5868343643267,9504.47014340735
6,Cu07,58CO,279.8427852746129,22.209472916417972
7,Cu08,58CO,359.7348740262269,273.2642084319358
8,Cu09,58CO,15.004650871470647,0.10213791791444307
9,Cu10,58CO,0.0,0.0
10,Cu11,58CO,0.0,0.0
11,Cu12,58CO,0.0,0.0
12,Cu13,58CO,0.0,0.0
13,Cu14,58CO,0.0,0.0
