,foil,isotope,fit,cov
0,Ta01,180TA,0.0,0.0
1,Ta02,180TA,0.0,0.0
2,Ta03,180TA,321834254.8850442,6.735547675812975e+16
3,Ta04,180TA,451501.4785040775,1252346676.112572
4,Ta05,180TA,412873.443973304,6821275469.863709
5,Ta06,180TA,378918.9045694649,253750087.8268673
6,Ta07,180TA,389984.256257885,127988143.57741623
7,Ta08,180TA,471657.48896384693,6987749344.405257
8,Ta09,180TA,404966.6454868588,3003191565.432266
9,Ta10,180TA,292841.8325786889,23094620.73278302
10,Ta11,180TA,146598.4739526464,60912831.855471745
11,Ta12,180TA,14337.123350312484,467871.53105794085
12,Ta13,180TA,370.58180766382674,564.8329450748613
13,Ta14,180TA,0.0,0.0
