,foil,isotope,fit,cov
0,Ta01,177W,8418541.491614949,40505176080.93028
1,Ta02,177W,13629255.914477088,51632664234.06777
2,Ta03,177W,10886843.368145525,21715517483.58033
3,Ta04,177W,3282937.2335756575,2219240190.8904905
4,Ta05,177W,433203.26679137873,416264116.8528457
5,Ta06,177W,1827.0136703042836,117194.2658625056
6,Ta07,177W,80740.91052524842,297336457.5169103
7,Ta08,177W,0.0,0.0
8,Ta09,177W,0.0,0.0
9,Ta10,177W,0.0,0.0
10,Ta11,177W,0.0,0.0
11,Ta12,177W,0.0,0.0
12,Ta13,177W,0.0,0.0
13,Ta14,177W,0.0,0.0
