,foil,isotope,fit,cov
0,Ni01,61CU,0.0,0.0
1,Ni02,61CU,0.0,0.0
2,Ni03,61CU,0.0,0.0
3,Ni04,61CU,0.0,0.0
4,Ni05,61CU,51976.44554522786,1570107.4122837216
5,Ni06,61CU,78670.23247579813,718832.0696411873
6,Ni07,61CU,143465.71577271892,2266247.4290934387
7,Ni08,61CU,173917.59897552364,133639892.78172041
8,Ni09,61CU,249059.52574806358,43830101.51182063
9,Ni10,61CU,346930.78769446735,37499509.551978275
10,Ni11,61CU,318905.79892857024,38421960.12834991
11,Ni12,61CU,112735.66990810256,5597324.946143968
12,Ni13,61CU,128226.94016686875,6592327.235610425
13,Ni14,61CU,122995.2123895349,12478443.201914497
