,foil,isotope,fit,cov
0,Ni01,57NI,211713.91602874539,8424901.771074906
1,Ni02,57NI,217608.004601349,10988769.193346005
2,Ni03,57NI,229263.75857635593,14881475.434218915
3,Ni04,57NI,237512.2817057596,12441489.756343205
4,Ni05,57NI,252374.63030129086,20430145.949836727
5,Ni06,57NI,310807.7178576476,33308567.429376207
6,Ni07,57NI,415872.66765801836,48971409.472580805
7,Ni08,57NI,468507.2375904217,24222602.731678158
8,Ni09,57NI,521557.72107366513,29211451.04076576
9,Ni10,57NI,479880.96338732075,37929291.299430415
10,Ni11,57NI,346295.0889470493,14071600.774522329
11,Ni12,57NI,45215.47124435632,417811.6914509719
12,Ni13,57NI,0.0,0.0
13,Ni14,57NI,0.0,0.0
