filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,54.611,51020.502643040134,6774.497963265242,0.222,0.016,1.4190018255875811e-05,0.00013878536922740374,17062493382.294312,166899516494.30838,22216788.258195717,217317078.7686307,437.6546428591588,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,55.79,140767.97463649904,41254.88664662669,0.38,0.03,1.4350011055647947e-05,0.00013739349652135266,27195792660.92277,260515632400.3181,35411188.360576525,339213063.02124757,437.6546428591588,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178Wg,56.28,235853.8421048344,41850.57213083937,0.071,0.013999999999999999,1.4418055271540664e-05,0.0001368025845510819,242723380640.31097,2303927978564.915,316046068.5420716,2999906222.089733,437.6546428591588,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178Wg,57.535,514053.27534080076,16633.377759204766,0.12300000000000001,0.024,1.4596558979408087e-05,0.00013525706345470962,301638119409.3488,2795725997887.5576,392757967.98092294,3640268226.4160905,437.6546428591588,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,62.985,18110.171323085164,11690.19441878736,0.043,0.003,1.5445290284487588e-05,0.00012806011458723067,28727095615.866196,238911579215.50653,37405072.41649244,311082785.43685746,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,63.243,21243.466373940817,11705.060966334702,0.083,0.006,1.5488530434791456e-05,0.00012770158906051258,17408877505.898712,143860398244.3376,22667809.25247228,187318226.8806479,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,64.942,6793.641997830069,30167.381550657057,0.028300000000000002,0.0021,1.5780374593371453e-05,0.00012530401838469204,16026275536.868198,145808696377.5538,20867546.2719638,189855073.4082732,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178Wg,64.948,95065.68594764819,30015.238453615,0.013999999999999999,0.003,1.578142718892301e-05,0.00012529544151802146,453297335525.68713,3603074255126.4536,590230905.6324052,4691502936.36257,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178Wg,65.222,105240.83416347078,25460.39656041091,0.027000000000000003,0.005,1.5829661172557347e-05,0.00012490296029924445,259407537013.36935,2048364484771.574,337770230.486158,2667141256.212987,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178Wg,66.982,41430.379937614685,1678.9433611801073,0.0092,0.0018,1.6147240630222006e-05,0.00012234528312422548,293809925526.2368,2226929246771.7188,382565007.19562083,2899647456.734009,51.26319337475234,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,93.13,13346.191621134012,502.25722598885534,0.066,0.019,2.2103119363514568e-05,7.728678943182555e-05,9638146941.743078,33817262715.851845,12549670.4970613,44032894.161265425,16.221061175119235,09/24/2025 17:27:21,729.0,768.0
/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178TAg,213.39,3423.748228158463,110.60460989791224,0.00086,0.00014000000000000001,5.099136170007573e-05,9.613741402220028e-05,82250860696.64172,155679044271.4928,107097474.86541891,202707088.89517292,1.466574748383326,09/24/2025 17:27:21,729.0,768.0
