,foil,isotope,fit,cov
0,Ni01,60CU,691393.9166565298,599975.5419474002
1,Ni02,60CU,1403394.8331158515,854785.1512414098
2,Ni03,60CU,1613240.2464282843,746832.0043828562
3,Ni04,60CU,1347386.7784830378,393834.48719095055
4,Ni05,60CU,897748.1755143934,608841.4056929923
5,Ni06,60CU,100000.0,inf
6,Ni07,60CU,100000.0,inf
7,Ni08,60CU,100000.0,inf
8,Ni09,60CU,2866509.8598160106,2158127.6983190393
9,Ni10,60CU,100000.0,inf
10,Ni11,60CU,24993333.509718873,8261529.148772878
11,Ni12,60CU,100000.0,inf
12,Ni13,60CU,35297834.01256612,10090664.52649045
13,Ni14,60CU,1137924.6491336445,1432451.8953823359
