,foil,isotope,fit,cov
0,Cu01,63ZN,1422395.1303072746,50760.14179558332
1,Cu02,63ZN,2018136.070365521,79094.15755688377
2,Cu03,63ZN,2813901.032478477,116778.95788402598
3,Cu04,63ZN,3791125.480111971,156945.00745184472
4,Cu05,63ZN,4538197.351806656,129425.64995282848
5,Cu06,63ZN,4480863.661480596,132211.56979547732
6,Cu07,63ZN,3264906.607610318,104864.31302418046
7,Cu08,63ZN,3684488.6290125386,97670.02146344187
8,Cu09,63ZN,2354820.3305734517,64444.56381382914
9,Cu10,63ZN,2469737.0095917564,66567.6232745846
10,Cu11,63ZN,4217306.827118471,114715.46164381778
11,Cu12,63ZN,20471898.766565338,430547.809148079
12,Cu13,63ZN,24171892.336886168,528862.683600117
13,Cu14,63ZN,10461755.14579675,250826.48237662806
