,foil,isotope,fit,cov
0,Ta01,180TA,100000.0,inf
1,Ta02,180TA,11788297.870188646,9065788.67282236
2,Ta03,180TA,223437442.83020103,123288147.45467779
3,Ta04,180TA,451131.69081426476,74318.44241765913
4,Ta05,180TA,412816.87973566644,66871.35653619606
5,Ta06,180TA,378141.9103414505,44041.00994239642
6,Ta07,180TA,389470.71060906054,49359.6081897904
7,Ta08,180TA,471284.25426095317,79346.64293741599
8,Ta09,180TA,404338.12904547114,46414.166788556446
9,Ta10,180TA,272938.8005484788,34995.34262650635
10,Ta11,180TA,146283.4336802531,3883.888055684528
11,Ta12,180TA,14182.980501050837,338.04071016213027
12,Ta13,180TA,367.6307285370693,47.08399815585283
13,Ta14,180TA,0.0,0.0
