,foil,isotope,fit,cov
0,Ta01,177W,8874537.861495197,180254.52489257348
1,Ta02,177W,14871328.653641196,175295.03281581384
2,Ta03,177W,10378968.70834121,85029.25542442553
3,Ta04,177W,3045383.885363318,24904.210676819795
4,Ta05,177W,414428.9949966125,5296.589386735535
5,Ta06,177W,1683.9035061784414,229.34086203481496
6,Ta07,177W,153.6347029984036,217.45750947654645
7,Ta08,177W,454.5090090732625,238.42275692954001
8,Ta09,177W,0.0,0.0
9,Ta10,177W,0.0,0.0
10,Ta11,177W,0.0,0.0
11,Ta12,177W,0.0,0.0
12,Ta13,177W,0.0,0.0
13,Ta14,177W,0.0,0.0
