,foil,isotope,fit,cov
0,Ta01,181W,30181.48652350594,72047.26921041087
1,Ta02,181W,162947.5032573822,168380.91246427907
2,Ta03,181W,2844.1802851368757,975.575566797997
3,Ta04,181W,2519.154825230791,3175.4502421614193
4,Ta05,181W,1780.9640450700836,1094.868509491412
5,Ta06,181W,952.6837081514202,1563.8507908920853
6,Ta07,181W,544.3673907182863,1648.5700949730326
7,Ta08,181W,1082.6283625817991,1989.3275922072796
8,Ta09,181W,1749.8655611255244,488.6315038006441
9,Ta10,181W,99222.56980437964,35278.07335919359
10,Ta11,181W,461.91045264154917,42.41986408293678
11,Ta12,181W,508.08813096418277,55.459503761102965
12,Ta13,181W,869.7394446547634,67.5352756276358
13,Ta14,181W,153.9940166486085,12.403350433110225
