,foil,isotope,fit,cov
0,Ta01,175HF,235.60254632932296,7.748834028397197
1,Ta02,175HF,215.69003291407088,6.880084167513905
2,Ta03,175HF,221.57919402306598,7.5344498106805915
3,Ta04,175HF,110.9490019411858,4.039769730343962
4,Ta05,175HF,52.520034550856934,1.4152416184798884
5,Ta06,175HF,8.43101785037898,0.7772169560891788
6,Ta07,175HF,1.0222414780349238,0.2679335273356132
7,Ta08,175HF,9.535472131884902,2.811020288007902
8,Ta09,175HF,0.0,0.0
9,Ta10,175HF,0.0,0.0
10,Ta11,175HF,0.0,0.0
11,Ta12,175HF,0.0,0.0
12,Ta13,175HF,0.0,0.0
13,Ta14,175HF,0.0,0.0
