,foil,isotope,fit,cov
0,Cu01,62ZN,97969.42008675402,1723.5170352763243
1,Cu02,62ZN,113843.03753566729,1887.6317599693348
2,Cu03,62ZN,111854.57173961654,1880.151953505463
3,Cu04,62ZN,122309.86262850955,2000.3192334273908
4,Cu05,62ZN,144509.89695134104,2310.6676270477856
5,Cu06,62ZN,218951.74270014156,3207.460297476873
6,Cu07,62ZN,403855.6573814046,5343.160315243473
7,Cu08,62ZN,423363.16131829045,10791.703073599687
8,Cu09,62ZN,640633.8478573668,11931.773435285888
9,Cu10,62ZN,706297.5711526271,12357.786983864895
10,Cu11,62ZN,474524.99621197686,6815.960463935412
11,Cu12,62ZN,47250.68735691524,1065.111072869161
12,Cu13,62ZN,9198.141774295047,320.1936708970102
13,Cu14,62ZN,0.0,0.0
