,foil,isotope,fit,cov
0,Cu01,63ZN,1432363.098408368,53469.899941354444
1,Cu02,63ZN,2054037.8265094853,83719.4736567652
2,Cu03,63ZN,2812845.76790677,124688.21903926705
3,Cu04,63ZN,3864067.3614632515,178747.5405133101
4,Cu05,63ZN,4475795.552802898,132838.82693496873
5,Cu06,63ZN,4412529.410611085,135251.59792139765
6,Cu07,63ZN,3282804.6825032174,106982.98150330836
7,Cu08,63ZN,3574645.1914320984,134829.45014451272
8,Cu09,63ZN,2349257.2498204713,65377.32764682084
9,Cu10,63ZN,2447407.901002031,67561.45954943162
10,Cu11,63ZN,5522484.940662633,140451.30619946343
11,Cu12,63ZN,22802339.191477023,480591.559570533
12,Cu13,63ZN,26969718.639289618,621469.1546832707
13,Cu14,63ZN,11453738.71265979,284097.51304681227
