,foil,isotope,fit,cov
0,Ni01,57NI,211613.26443245632,3583.030792687093
1,Ni02,57NI,217576.84048022665,3959.503312218506
2,Ni03,57NI,229275.33038402814,3927.665193679825
3,Ni04,57NI,237456.5052375342,3928.5240974360936
4,Ni05,57NI,252426.84300455553,4050.0468242938628
5,Ni06,57NI,310554.1531543828,4923.981175012644
6,Ni07,57NI,415565.3566738468,6659.334549905874
7,Ni08,57NI,466864.2304898115,6598.556048869938
8,Ni09,57NI,523038.7628342028,7661.459743364605
9,Ni10,57NI,474598.94724013115,7748.99270088195
10,Ni11,57NI,345548.13938888686,5101.12141935723
11,Ni12,57NI,45290.337389443535,727.5743343038647
12,Ni13,57NI,0.0,0.0
13,Ni14,57NI,0.0,0.0
