,foil,isotope,fit,cov
0,Ni01,58CO,55342777.020346686,18409115.303839445
1,Ni02,58CO,103461996.62138942,25938574.39884727
2,Ni03,58CO,-214466108.0156352,4.424851523564031e+16
3,Ni04,58CO,68367493.94171964,20100552.039974853
4,Ni05,58CO,176957.07674362487,19593.656763164217
5,Ni06,58CO,103433.06911405154,15828.432252843753
6,Ni07,58CO,4271819.6728194505,1644547.0905775637
7,Ni08,58CO,32986.67396233194,6795.304046004713
8,Ni09,58CO,42976.4154379152,8607.452504505662
9,Ni10,58CO,5680107.910256399,1374631.8503932506
10,Ni11,58CO,1041160.4036483314,219381.46772064528
11,Ni12,58CO,113.36811712334658,444.8782307459229
12,Ni13,58CO,-129.7442983127138,293.47382188583543
13,Ni14,58CO,200.71240995777396,109.81977223966085
