,foil,isotope,fit,cov
0,Cu01,62CU,0.0,0.0
1,Cu02,62CU,0.0,0.0
2,Cu03,62CU,0.0,0.0
3,Cu04,62CU,-130459872318.37183,88086599334.39526
4,Cu05,62CU,1000000.0,inf
5,Cu06,62CU,-1908010366426.326,528745382267.3685
6,Cu07,62CU,3708653574.2837844,2273328074.112655
7,Cu08,62CU,23873671.338180777,1939958.988991432
8,Cu09,62CU,37842881.10646169,6076995.372824531
9,Cu10,62CU,18389801.920575034,13368015.30542367
10,Cu11,62CU,-6184698.141772041,18726659.941301484
11,Cu12,62CU,1000000.0,inf
12,Cu13,62CU,0.0,0.0
13,Cu14,62CU,0.0,0.0
