,foil,isotope,fit,cov
0,Ta01,178TA,24115284817.25727,89811371879.12283
1,Ta02,178TA,0.0,0.0
2,Ta03,178TA,2607786866.680366,686205064.075796
3,Ta04,178TA,1955899.1637343266,1064168.4179984333
4,Ta05,178TA,108025564.19600546,16440870.29081221
5,Ta06,178TA,87034.8802174724,42390.61361095937
6,Ta07,178TA,2666877.879937512,1864913.73179388
7,Ta08,178TA,120190771.34922074,26212250.847963553
8,Ta09,178TA,1219.6073095326283,12848.784270147302
9,Ta10,178TA,208139965.68343195,243469733.68722475
10,Ta11,178TA,4750.686394340548,55595.98547055645
11,Ta12,178TA,160943076.51784903,457094060.31961143
12,Ta13,178TA,270150.7289290347,64404.83980425463
13,Ta14,178TA,85432431.95743574,698545705.366195
