,foil,isotope,fit,cov
0,Cu01,61CU,2009717.4043808181,42410.10771800845
1,Cu02,61CU,2518723.530213632,51329.51211396912
2,Cu03,61CU,3515465.095027276,70453.29914553688
3,Cu04,61CU,4204656.696725577,81423.0010331086
4,Cu05,61CU,4179317.5166090284,81491.54903885482
5,Cu06,61CU,3456681.3512009275,68327.7019223267
6,Cu07,61CU,1739694.4886545239,35560.31626528797
7,Cu08,61CU,1138731.3106248628,32281.72595466162
8,Cu09,61CU,607142.6601086969,15891.980592931335
9,Cu10,61CU,71219.7708972837,3253.6887807486755
10,Cu11,61CU,45507.38787777965,2205.128485047964
11,Cu12,61CU,0.0,0.0
12,Cu13,61CU,0.0,0.0
13,Cu14,61CU,0.0,0.0
