,foil,isotope,fit,cov
0,Sn01,119SBg,7041497.553733554,52345414.76655629
1,Sn02,119SBg,205851.03126818745,15851.024215458623
2,Sn03,119SBg,226281.94445611074,15061.156622270199
3,Sn04,119SBg,204446.35679477328,7592.941360129225
4,Sn05,119SBg,60613.157800003435,2339.844824734561
5,Sn06,119SBg,53182.002411603855,1812.407383921628
6,Sn07,119SBg,61091.481318968064,2863.9366933822052
7,Sn08,119SBg,64772.96494285138,2262.6549721191514
8,Sn09,119SBg,80896.83235692451,3694.770197241601
9,Sn10,119SBg,151848.89894892366,5560.326623457092
10,Sn11,119SBg,144120.2882364276,8735.859545798256
11,Sn12,119SBg,109302.1666835174,4917.532779175432
12,Sn13,119SBg,50604.34752470929,2211.2179290277195
13,Sn14,119SBg,9903.514248399617,410.1732554596215
