,foil,isotope,fit,cov
0,Sn01,117SBg,28188273.10007776,20879093.403355956
1,Sn02,117SBg,4267830.30658006,453025.56268441956
2,Sn03,117SBg,4652128.198096641,475062.1437207801
3,Sn04,117SBg,6249088.296341307,366932.7896110004
4,Sn05,117SBg,1002543.9490561079,51462.41750552828
5,Sn06,117SBg,494579.84719059226,45036.45501919546
6,Sn07,117SBg,881496.1023131219,45270.49312514882
7,Sn08,117SBg,1009620.1510474277,48868.55202988169
8,Sn09,117SBg,1274876.1899354372,58727.3776761758
9,Sn10,117SBg,1521927.803408354,78447.0461267727
10,Sn11,117SBg,568014.1919170979,32509.07143598846
11,Sn12,117SBg,480151.93357706146,29666.56362598116
12,Sn13,117SBg,245158.3404402209,8836.318416312755
13,Sn14,117SBg,90457.08388840582,3962.1743443926175
