,foil,isotope,fit,cov
0,Cu01,60CU,3411601.099373937,60805.07959623893
1,Cu02,60CU,2458832.204264711,51674.09186297367
2,Cu03,60CU,672718.2117280072,21531.55687870512
3,Cu04,60CU,137811.1995670022,7845.43108318638
4,Cu05,60CU,51514.73091175259,4740.736638026216
5,Cu06,60CU,8120.001698458098,2453.461827377228
6,Cu07,60CU,2066.382651313019,2223.0099192080565
7,Cu08,60CU,13123.033776879645,1429.4365024626745
8,Cu09,60CU,834.198655457189,461.0917494161703
9,Cu10,60CU,0.0,0.0
10,Cu11,60CU,0.0,0.0
11,Cu12,60CU,0.0,0.0
12,Cu13,60CU,0.0,0.0
13,Cu14,60CU,0.0,0.0
