,foil,isotope,fit,cov
0,Ni01,56CO,6647.429111007179,1721.3508646351313
1,Ni02,56CO,8025.262796574921,175.61262649219046
2,Ni03,56CO,10507.092504223518,216.57566201165443
3,Ni04,56CO,3071200.9601328857,301593309767668.06
4,Ni05,56CO,10381.012855799008,147.80410943454268
5,Ni06,56CO,8203.740117692107,126.23025417179063
6,Ni07,56CO,3690.8880547369486,73.11844620763465
7,Ni08,56CO,4639.936615678924,74.26607450081458
8,Ni09,56CO,1462.5507964375486,57.6982738591435
9,Ni10,56CO,593.127482314752,23.494762046042414
10,Ni11,56CO,71.99794315361873,8.737177239993102
11,Ni12,56CO,0.0,0.0
12,Ni13,56CO,0.0,0.0
13,Ni14,56CO,0.0,0.0
