,foil,isotope,fit,cov
0,Ta01,179W,470909977.2889118,100858256.17943871
1,Ta02,179W,25999123.324834503,13322678.62477362
2,Ta03,179W,2741217.9944583713,5292150.791066363
3,Ta04,179W,3843113.2097673966,1342976.2633547147
4,Ta05,179W,5240648.773999446,1253266.2023850388
5,Ta06,179W,11177984.137196047,1257493.8483235482
6,Ta07,179W,22173033.141200267,3104248.7620348986
7,Ta08,179W,26649354.71912257,3914878.839522438
8,Ta09,179W,33631425.85428273,1493350.8314071945
9,Ta10,179W,34921162.03341381,3211743.9575416595
10,Ta11,179W,11492728.33933715,1124838.5368897005
11,Ta12,179W,668.6186666236899,2950.191789501739
12,Ta13,179W,2507.487005365653,259.1733262578682
13,Ta14,179W,0.0,0.0
