,foil,isotope,fit,cov
0,Ni01,57NI,203150.3060929998,3504.3389021074786
1,Ni02,57NI,206046.9368606611,3839.0277735043787
2,Ni03,57NI,214452.04537890948,3783.5939471415472
3,Ni04,57NI,219202.04694432818,3760.180856228379
4,Ni05,57NI,252381.82515853664,4049.2927873442013
5,Ni06,57NI,306197.4249208533,4811.918109875392
6,Ni07,57NI,409405.41887388646,6304.294840622474
7,Ni08,57NI,465154.45491049555,6312.650477509189
8,Ni09,57NI,521351.52685092477,7519.520944155836
9,Ni10,57NI,480319.9397122349,7199.445562663478
10,Ni11,57NI,346280.72968785104,5030.322091164662
11,Ni12,57NI,45301.03068683921,722.028130255144
12,Ni13,57NI,119.71813548686983,15.177905759931203
13,Ni14,57NI,0.0,0.0
