,foil,isotope,fit,cov
0,Ni01,55CO,218486.5230516571,10435.717271569278
1,Ni02,55CO,146002.26484641165,2983.593718811118
2,Ni03,55CO,60005.119703656994,1578.4013460853942
3,Ni04,55CO,33409.218980950565,941.4582424463905
4,Ni05,55CO,23534.187440435162,509.72220135105596
5,Ni06,55CO,16839.657334740252,391.68554366951355
6,Ni07,55CO,15823.2511142597,377.5309846305712
7,Ni08,55CO,17831.777604856623,338.6892120860344
8,Ni09,55CO,24522.76131979724,476.777648614396
9,Ni10,55CO,46914.158462471554,874.2694075094748
10,Ni11,55CO,119280.38882320438,1764.9302769287804
11,Ni12,55CO,157148.8614167342,2073.140601952787
12,Ni13,55CO,90045.50168839216,1165.536510931252
13,Ni14,55CO,5293.448429577054,84.86465110377385
