,foil,isotope,fit,cov
0,Cu01,64CU,358128.2876860769,13257.623694630505
1,Cu02,64CU,416877.6209180634,14782.181218467518
2,Cu03,64CU,455200.7013362521,17508.926715788795
3,Cu04,64CU,484387.6140251204,15642.109760626912
4,Cu05,64CU,499490.53923657467,14936.732599260227
5,Cu06,64CU,554001.3394037086,16216.821709574948
6,Cu07,64CU,669733.5612643103,17007.221481803874
7,Cu08,64CU,719623.2003375546,23795.09521778987
8,Cu09,64CU,905967.0845340332,25451.161224599946
9,Cu10,64CU,857281.6481211132,46857.2587957347
10,Cu11,64CU,616887.7605852877,16923.513903670446
11,Cu12,64CU,114132.03977697153,6807.919869851525
12,Cu13,64CU,26407.433577010393,2352.8892844605407
13,Cu14,64CU,0.0,0.0
