,foil,isotope,fit,cov
0,Ta01,180TA,455011.8554806006,397689.6319698814
1,Ta02,180TA,494372.81046582514,100837.57171162176
2,Ta03,180TA,463201.8386252992,101620.00666286222
3,Ta04,180TA,439500.9982878555,73120.84457530864
4,Ta05,180TA,435284.4096801496,64880.56930788809
5,Ta06,180TA,403494.39353352843,55122.228545320904
6,Ta07,180TA,447328.55023678043,43744.06834154764
7,Ta08,180TA,478306.6129769684,67697.66753025023
8,Ta09,180TA,390165.22660431726,27945.626651050137
9,Ta10,180TA,287938.4876271726,10219.607075929993
10,Ta11,180TA,145439.86378117683,4178.787902711856
11,Ta12,180TA,14745.696317776401,407.13664540321764
12,Ta13,180TA,731.046076991085,140.265213463612
13,Ta14,180TA,0.0,0.0
