,foil,isotope,fit,cov
0,Ni01,57CO,2335.840355344632,971.3280434739354
1,Ni02,57CO,2146.7633311843892,1248.2163115259882
2,Ni03,57CO,6981.204084551237,1290.2305145675766
3,Ni04,57CO,1148.3878209075142,1152.7103184850473
4,Ni05,57CO,2334.243175343663,83.09123251183213
5,Ni06,57CO,2936.562805432261,96.67083723791504
6,Ni07,57CO,4184.876191016752,132.65493938579024
7,Ni08,57CO,4431.691839656045,147.95195372665515
8,Ni09,57CO,5782.864706448922,206.0036330526274
9,Ni10,57CO,6608.704622777196,232.2679475824005
10,Ni11,57CO,6745.075066269452,205.80757364536572
11,Ni12,57CO,3272.7812201607853,96.488842940314
12,Ni13,57CO,284.57104366643523,2.9100467165592225
13,Ni14,57CO,36.404258540898,0.49505439965821824
