,foil,isotope,fit,cov
0,Ni01,61CU,0.0,0.0
1,Ni02,61CU,0.0,0.0
2,Ni03,61CU,0.0,0.0
3,Ni04,61CU,0.0,0.0
4,Ni05,61CU,51694.56728727645,2720.5348792102345
5,Ni06,61CU,78132.58612021455,3860.191256749861
6,Ni07,61CU,142194.9314841171,6682.493093196674
7,Ni08,61CU,172998.36678939904,7978.539041197513
8,Ni09,61CU,248319.2785397889,11882.931355149742
9,Ni10,61CU,346005.7298220244,16090.007339112875
10,Ni11,61CU,315578.4972968585,14891.435304030412
11,Ni12,61CU,112423.21149662677,5517.969016141566
12,Ni13,61CU,127921.16626131695,5841.099605061743
13,Ni14,61CU,122932.9080904391,5040.318790660778
