,foil,isotope,fit,cov
0,Cu01,61CU,2041839.358512098,44269.2247010636
1,Cu02,61CU,2548482.2563897474,53318.037579243784
2,Cu03,61CU,3540942.2465873314,73114.47041082621
3,Cu04,61CU,4278067.902175253,85931.6085726649
4,Cu05,61CU,4328976.925152987,86719.83943870677
5,Cu06,61CU,3557728.551847069,72201.44226754122
6,Cu07,61CU,1753228.6706142062,36907.75207990324
7,Cu08,61CU,2112549.2643183507,47468.097559122005
8,Cu09,61CU,611289.1258783073,16674.699787740134
9,Cu10,61CU,78923.09628676447,3617.712798826643
10,Cu11,61CU,44208.37480519239,2468.452150409359
11,Cu12,61CU,0.0,0.0
12,Cu13,61CU,0.0,0.0
13,Cu14,61CU,0.0,0.0
