,foil,isotope,fit,cov
0,Ta01,179W,482679976.4137285,100888589.58654194
1,Ta02,179W,26018032.74914427,13322676.838093868
2,Ta03,179W,3183241.176972693,270634.21901738265
3,Ta04,179W,4883496.422208247,291469.98587082815
4,Ta05,179W,6301897.940240769,416129.83344068896
5,Ta06,179W,11984784.5462671,498922.77296329
6,Ta07,179W,27060788.018673055,1529949.3148340504
7,Ta08,179W,26210318.152370907,1709674.6540242825
8,Ta09,179W,35860222.235108204,1275191.6388246422
9,Ta10,179W,36347969.48399526,2528541.295448752
10,Ta11,179W,12616416.527670367,635307.5666476388
11,Ta12,179W,669.1269822523755,2950.1911296517537
12,Ta13,179W,2511.6736852000045,259.17206125439384
13,Ta14,179W,100000.0,inf
