,foil,beam current (nA),protons/s,eob activity (Bq),areal density (p/cm2),flux weighted average energy (MeV),flux weighted average cross section (cm^2)
0,Ni01,155.03234720027928,967635801885.4948,316463.94361477706,2.3680908711927392e+20,54.90803123489507,[np.float64(7.162416464904723e-26)]
1,Ni02,150.02858133934203,936404751857.978,320761.7807810133,2.3693365027306704e+20,48.47868191212748,[np.float64(7.497869684621606e-26)]
2,Ni03,145.42792503228165,907689713768.9855,326026.02654042735,2.3565412828832724e+20,43.35262684178945,[np.float64(7.904700708689472e-26)]
3,Ni04,137.30137247245787,856967762222.763,332148.8465714931,2.3581906076436657e+20,39.5145232261613,[np.float64(8.52383403117388e-26)]
4,Ni05,139.2399591937102,869067468835.0886,368800.8028176245,2.35408930856976e+20,36.91615107673845,[np.float64(9.348911649683109e-26)]
5,Ni06,142.53478589289793,889632159576.8445,452692.56840583286,2.3221170609224732e+20,33.54662816474158,[np.float64(1.1364606636096182e-25)]
6,Ni07,144.51640482154627,902000452102.1263,608394.321646936,2.3116539775551488e+20,29.89428888111073,[np.float64(1.513216946540252e-25)]
7,Ni08,148.28571180059447,925526615816.2838,642001.8927952733,2.3749046535163796e+20,29.85427114237141,[np.float64(1.5147705180257247e-25)]
8,Ni09,149.27028617309088,931671845696.7018,759295.4076120566,2.325332978557572e+20,26.892990866057733,[np.float64(1.817641696739103e-25)]
9,Ni10,154.00148316474255,961201654653.157,693826.8643091186,2.3710366183863897e+20,23.65659388282357,[np.float64(1.5788612522246502e-25)]
10,Ni11,146.27133576139414,912953869488.2385,476027.3611705011,2.3539457915965873e+20,20.024525726286306,[np.float64(1.148767793052731e-25)]
11,Ni12,97.98838464440286,611595391949.7921,52644.7619145467,2.375961400306482e+20,15.790278013900695,[np.float64(1.8788720539501806e-26)]
12,Ni13,14.461747033948836,90263125344.94768,167.659996195337,2.375732689580167e+20,12.473200296008882,[np.float64(4.0547785272862065e-28)]
13,Ni14,-0.0,-0.0,0.0,2.366901059953992e+20,8.275674710108293,[np.float64(-3.581607435321858e-29)]
