,foil,beam current (nA),protons/s,eob activity (Bq),areal density (p/cm2),flux weighted average energy (MeV),flux weighted average cross section (cm^2)
0,Cu01,99.22085762569303,619287883246.5425,105479.74956880548,2.075964045240959e+20,54.32476207143689,[np.float64(1.1376145496748455e-26)]
1,Cu02,101.6861600221584,634675090525.371,122799.46733898309,2.107188666989931e+20,47.850046669777974,[np.float64(1.2731514402244438e-26)]
2,Cu03,100.68972873770694,628455855621.3905,120606.463942789,2.108899580737355e+20,42.66897793186213,[np.float64(1.261764676917758e-26)]
3,Cu04,102.32199005025144,638643629415.5283,132472.419115924,2.112253732077904e+20,38.78423894926329,[np.float64(1.361630449730818e-26)]
4,Cu05,105.77204727133676,660177192868.3412,155454.1457846595,2.114404569804189e+20,36.401832591629585,[np.float64(1.5441595133636037e-26)]
5,Cu06,116.43637360701089,726738682465.4622,238627.3045217664,2.1069546161933595e+20,32.9970373518676,[np.float64(2.1608525628861533e-26)]
6,Cu07,115.73967839611683,722390252984.5336,437673.2793236637,2.1093869063210245e+20,29.11075738382559,[np.float64(3.982542029636689e-26)]
7,Cu08,120.54118909149275,752358925560.8428,441026.3171046936,2.1036080772169413e+20,29.250224014934325,[np.float64(3.863785929000945e-26)]
8,Cu09,115.19154101235526,718969048529.7345,661669.0457167743,2.09356990617513e+20,26.244879573297773,[np.float64(6.09511093730277e-26)]
9,Cu10,108.3579444108586,676317093330.2888,720998.4194207026,2.1099603346791855e+20,22.93575705047003,[np.float64(7.00564483009453e-26)]
10,Cu11,101.11989486277511,631140741394.5292,486106.93777569744,2.1048557350336096e+20,19.21151876791786,[np.float64(5.0736642796949393e-26)]
11,Cu12,67.45876323007886,421044482852.43726,47585.23687354959,2.101679136407077e+20,14.806228540951363,[np.float64(7.45617855748845e-27)]
12,Cu13,-634.3816046520103,-3959498542106.5024,9294.610782786109,2.1008525932533187e+20,11.311100433012989,[np.float64(-1.549294209954079e-28)]
13,Cu14,0.0,0.0,0.0,2.0967126393639472e+20,6.660130534445454,[np.float64(3.111080308593696e-29)]
