,foil,beam current (nA),protons/s,eob activity (Bq),areal density (p/cm2),flux weighted average energy (MeV),flux weighted average cross section (cm^2)
0,Cu01,314.9241370650928,1965601859258.5017,4472652.057861837,2.075964045240959e+20,54.32387645360491,[np.float64(1.6588249853458404e-26)]
1,Cu02,304.4707810738985,1900357142980.8938,6330355.140867404,2.107188666989931e+20,47.84932123310707,[np.float64(2.3924356276893086e-26)]
2,Cu03,300.34475812664704,1874604533314.1907,8869082.932534032,2.108899580737355e+20,42.668054339351464,[np.float64(3.395189256876575e-26)]
3,Cu04,313.24301357756946,1955109111755.836,12002271.222921066,2.112253732077904e+20,38.78334042778014,[np.float64(4.398424952039084e-26)]
4,Cu05,330.8368363718922,2064921116381.056,14323272.947116686,2.114404569804189e+20,36.4016776672259,[np.float64(4.9647976113287627e-26)]
5,Cu06,312.9678340833752,1953391576445.7168,14118853.445410166,2.1069546161933595e+20,32.99706061568686,[np.float64(5.191654396548108e-26)]
6,Cu07,290.73033777080235,1814596041417.5054,10318793.33799236,2.1093869063210245e+20,29.11159735386578,[np.float64(4.079843885026701e-26)]
7,Cu08,121.18542670916293,756379940497.6401,4355632.645424829,2.1036080772169413e+20,29.250069070023013,[np.float64(4.142831286418766e-26)]
8,Cu09,104.22336888479767,650511102665.3362,2627677.6014877036,2.09356990617513e+20,26.244984587492294,[np.float64(2.9199857658222746e-26)]
9,Cu10,121.33258183833517,757298410571.7222,2734951.443454685,2.1099603346791855e+20,22.936284965428317,[np.float64(2.590354001338298e-26)]
10,Cu11,121.03745612053801,755456380725.9845,6224992.814782416,2.1048557350336096e+20,19.213259604419864,[np.float64(5.924585363283026e-26)]
11,Cu12,118.29607144823638,738346003417.2261,23966571.297923673,2.101679136407077e+20,14.811001740500869,[np.float64(2.33738580182392e-25)]
12,Cu13,105.26898068532077,657037298206.6644,29820252.70889091,2.1008525932533187e+20,11.322366548473308,[np.float64(3.2694639266570616e-25)]
13,Cu14,95.11416671368838,593655934653.2599,12747752.668770395,2.0967126393639472e+20,6.682159838589409,[np.float64(1.5499251924706758e-25)]
