,foil,beam current (nA),unc beam current (nA),protons/s, unc protons/s,eob activity (MBq),areal density (nuclei/cm2),flux weighted average energy (MeV),flux weighted average cross section (mb)
0,Cu01,116.57373979682315,12.382959608580851,727596054785.6995,77288354765.63849,5.3675183399508555e-05,2.075964045240959e+20,54.32403636169699,[np.float64(0.9504586896831809)]
1,Cu02,190.24375968750883,52.22603238799322,1187408152449.119,325969255072.7414,1.023316462943992e-05,2.107188666989931e+20,47.84950134958447,[np.float64(0.10938968819212569)]
2,Cu03,0.0,0.0,0.0,0.0,1.348757705836242e-06,2.108899580737355e+20,42.66827134855946,[np.float64(0.0)]
3,Cu04,0.0,0.0,0.0,0.0,0.0,2.112253732077904e+20,38.783526527938776,[np.float64(0.0)]
4,Cu05,0.0,0.0,0.0,0.0,0.0,2.114404569804189e+20,36.40192891730964,[np.float64(0.0)]
5,Cu06,0.0,0.0,0.0,0.0,0.0,2.1069546161933595e+20,32.99728189818793,[np.float64(0.0)]
6,Cu07,0.0,0.0,0.0,0.0,0.0,2.1093869063210245e+20,29.111857830928916,[np.float64(0.0)]
