,foil,beam current (nA),protons/s,eob activity (Bq),areal density (p/cm2),flux weighted average energy (MeV),flux weighted average cross section (cm^2)
0,Cu01,97.77490463583892,610262954539.1244,65.7818236369279,2.075964045240959e+20,54.32476207143689,[np.float64(4.3857688570418296e-27)]
1,Cu02,105.21724514664925,656714390372.574,83.0731710803358,2.107188666989931e+20,47.850046669777974,[np.float64(5.070578363933939e-27)]
2,Cu03,106.44394995212004,664370879547.6045,95.78044818032292,2.108899580737355e+20,42.66897793186213,[np.float64(5.774136430316141e-27)]
3,Cu04,106.84089505079531,666848415983.049,107.18733757295146,2.112253732077904e+20,38.78423894926329,[np.float64(6.4275718291127e-27)]
4,Cu05,105.52723109326094,658649170471.3062,113.71539031050273,2.114404569804189e+20,36.401832591629585,[np.float64(6.896895940540857e-27)]
5,Cu06,105.44827185856587,658156345691.4445,126.2680270216366,2.1069546161933595e+20,32.9970373518676,[np.float64(7.691053026375533e-27)]
6,Cu07,103.87573518065584,648341343746.3466,143.89744892588968,2.1093869063210245e+20,29.11075738382559,[np.float64(8.887299111424354e-27)]
7,Cu08,117.90023156810713,735875365213.366,161.7318942126828,2.1036080772169413e+20,29.250224014934325,[np.float64(8.824766928986427e-27)]
8,Cu09,117.07136993794747,730702017827.2521,184.7208496965208,2.09356990617513e+20,26.244879573297773,[np.float64(1.0199169492951942e-26)]
9,Cu10,116.81914269473896,729127739199.94,242.4040636971036,2.1099603346791855e+20,22.93575705047003,[np.float64(1.3308792353062724e-26)]
10,Cu11,114.29322217495424,713362183354.3369,449.9750470620113,2.1048557350336096e+20,19.21151876791786,[np.float64(2.5312362313763392e-26)]
11,Cu12,126.24748720265215,787974837003.2224,1860.4487235577724,2.101679136407077e+20,14.806228540951363,[np.float64(9.488894276353178e-26)]
12,Cu13,21.93009504722255,136876887241.0266,697.7583427349047,2.1008525932533187e+20,11.311100433012989,[np.float64(2.0495381258621368e-25)]
13,Cu14,95.23872385676746,594433359192.0769,1897.3008858674357,2.0967126393639472e+20,6.660130534445454,[np.float64(1.285792202150958e-25)]
