,foil,beam current (nA),protons/s,eob activity (Bq),areal density (p/cm2),flux weighted average energy (MeV),flux weighted average cross section (cm^2)
0,Cu01,94.25061855492609,588266090984.1112,1568.7461757139515,2.075964045240959e+20,54.32476207143689,[np.float64(3.152350271344561e-26)]
1,Cu02,87.18811380452831,544185403496.08124,2089.894077112003,2.107188666989931e+20,47.850046669777974,[np.float64(4.472490174929021e-26)]
2,Cu03,92.86137217882045,579595097120.9861,2803.9534394428097,2.108899580737355e+20,42.66897793186213,[np.float64(5.629445575383812e-26)]
3,Cu04,87.39744199466614,545491927294.3669,2610.8522500975514,2.112253732077904e+20,38.78423894926329,[np.float64(5.560621212131925e-26)]
4,Cu05,85.25325736646138,532108979480.1076,2260.5900284770632,2.114404569804189e+20,36.401832591629585,[np.float64(4.9306997973593666e-26)]
5,Cu06,79.59537394588843,496795248768.3604,1332.1477718420313,2.1069546161933595e+20,32.9970373518676,[np.float64(3.123167082072885e-26)]
6,Cu07,73.17064807180182,456695263924.32605,279.96067041998134,2.1093869063210245e+20,29.11075738382559,[np.float64(7.131644753973803e-27)]
7,Cu08,91.88061905420889,573473717593.9172,359.747092634481,2.1036080772169413e+20,29.250224014934325,[np.float64(7.318033188608194e-27)]
8,Cu09,41.86074077969,261274193440.08487,15.005160513334898,2.09356990617513e+20,26.244879573297773,[np.float64(6.731813775170257e-28)]
9,Cu10,-0.0,-0.0,0.0,2.1099603346791855e+20,22.93575705047003,[np.float64(-7.35177109997399e-30)]
10,Cu11,-0.0,-0.0,0.0,2.1048557350336096e+20,19.21151876791786,[np.float64(-3.9249918344088185e-29)]
11,Cu12,0.0,0.0,0.0,2.101679136407077e+20,14.806228540951363,[np.float64(4.048418022992348e-30)]
12,Cu13,0.0,0.0,0.0,2.1008525932533187e+20,11.311100433012989,[np.float64(1.2300873196345053e-29)]
13,Cu14,-0.0,-0.0,0.0,2.0967126393639472e+20,6.660130534445454,[np.float64(-4.058157316485312e-30)]
