,0
0,912370356600.0024
1,976543336857.3539
2,4597849180687.496
3,777257129453.8177
4,797831455276.6968
5,788213896848.4048
6,757617625503.2402
7,623982350285.0565
8,548654548284.8992
9,519786684994.2583
10,500597133941.08765
11,426591987725.25775
12,-511014175424.23834
13,198834018607.56702
