,foil,nuclei/cm2,unc nuclei/cm2,arealdensity g/cm2,unc arealdensity g/cm2
0,Ni01,2.3680908711927392e+20,3.037136691760928e+17,0.023078712167183196,2.9599034553195804e-05
1,Ni02,2.3693365027306704e+20,1.4059523362073352e+17,0.02309085172317743,1.3701995004847495e-05
2,Ni03,2.3565412828832724e+20,6.28777904705883e+17,0.022966153300677625,6.127883205969479e-05
3,Ni04,2.3581906076436657e+20,4.228676611415842e+17,0.022982227131238084,4.121142965844521e-05
4,Ni05,2.3540893085697602e+20,2.5235623818665277e+17,0.02294225708532911,2.459389145725423e-05
5,Ni06,2.3221170609224732e+20,3.395208464701627e+17,0.022630665030410207,3.308869598613276e-05
6,Ni07,2.3116539775551488e+20,2.8830110170143725e+17,0.022528694919231956,2.8096971381415124e-05
7,Ni08,2.3749046535163796e+20,8.571842004373683e+17,0.023145117271366523,8.353863306853218e-05
8,Ni09,2.3253329785575722e+20,1.2977234612601678e+17,0.022662006411079624,1.2647228448602262e-05
9,Ni10,2.3710366183863894e+20,2.0960251641063034e+17,0.023107420546758725,2.0427240375796022e-05
10,Ni11,2.3539457915965873e+20,2.6855721514552054e+17,0.02294085841142041,2.6172790681981002e-05
11,Ni12,2.375961400306482e+20,1.4335884259644869e+17,0.023155416012558865,1.3971328149403093e-05
12,Ni13,2.375732689580167e+20,3.3943304002742835e+17,0.023153187065567692,3.308013863031951e-05
13,Ni14,2.366901059953992e+20,2.3029930837388416e+17,0.023067116619290014,2.2444288413582785e-05
