,foil,nuclei/cm2,unc nuclei/cm2,arealdensity g/cm2,unc arealdensity g/cm2
0,Sn01,1.901427685268636e+20,1.9160925513149545e+18,0.037475120718456004,0.000377641496569024
1,Sn02,1.8880370914893188e+20,7.273624538970957e+17,0.03721120633335499,0.00014335541644338164
2,Sn03,1.883913076717039e+20,6.203167507627511e+17,0.03712992638112055,0.00012225784497941713
3,Sn04,1.8768336740697948e+20,1.3095203958808353e+18,0.036990398871936024,0.00025809256538715704
4,Sn05,4.061285393368555e+19,8.363161838570469e+16,0.00800436227828912,1.648290397350209e-05
5,Sn06,3.965913499127143e+19,1.1527454081601768e+17,0.007816394401438742,2.2719387996259884e-05
6,Sn07,1.3068108367932534e+20,1.5674743710568946e+20,0.02575585400614104,0.030893255490883415
7,Sn08,4.082850702255644e+19,7.802713810028197e+16,0.008046865212275815,1.5378320418273427e-05
8,Sn09,3.972130309482624e+19,4.5346092606197464e+16,0.00782864707454119,8.937233362558562e-06
9,Sn10,4.1768724548906435e+19,5.345447592168267e+16,0.00823217210337957,1.0535309618276869e-05
10,Sn11,4.049941061397818e+19,8.30291089900867e+16,0.007982003804529255,1.6364155769141124e-05
11,Sn12,4.069949543398734e+19,1.0134905812737763e+17,0.008021438398029004,1.9974823220735295e-05
12,Sn13,3.731174272895312e+19,1.1461551015281266e+17,0.0073537483114218104,2.258950005020695e-05
13,Sn14,3.866034320760287e+19,5.5521208848621064e+16,0.0076195431461658246,1.0942640733364118e-05
