,foil,nuclei/cm2,unc nuclei/cm2,arealdensity g/cm2,unc arealdensity g/cm2
0,Cu01,2.075964045240959e+20,7.027042879612461e+17,0.021905700393971193,7.414978902416977e-05
1,Cu02,2.107188666989931e+20,3.341154645680678e+17,0.022235184524737373,3.525606949021636e-05
2,Cu03,2.108899580737355e+20,5.490179063203716e+17,0.02225323819191765,5.793270742983154e-05
3,Cu04,2.1122537320779042e+20,2.3754225525560848e+17,0.022288631403332145,2.506560499670701e-05
4,Cu05,2.114404569804189e+20,1.778153701480011e+17,0.022311327175417433,1.8763187314513845e-05
5,Cu06,2.1069546161933595e+20,4.651085635730247e+17,0.02223271480632466,4.907854193167585e-05
6,Cu07,2.1093869063210245e+20,3.0774871051452685e+17,0.02225838048147447,3.247383337209827e-05
7,Cu08,2.1036080772169413e+20,1.860467021831773e+17,0.02219740192104506,1.9631762537766033e-05
8,Cu09,2.09356990617513e+20,3.196813026969106e+17,0.02209147852229957,3.373296784444122e-05
9,Cu10,2.1099603346791858e+20,2.6528938051595997e+17,0.022264431332807894,2.799349873427268e-05
10,Cu11,2.1048557350336096e+20,8.632379887709196e+17,0.022210567283127695,9.108940395215347e-05
11,Cu12,2.101679136407077e+20,5.074284566894518e+17,0.022177047618880983,5.354416310386591e-05
12,Cu13,2.1008525932533187e+20,4.7173477462799936e+17,0.022168325884643618,4.9777743801044676e-05
13,Cu14,2.0967126393639472e+20,9.21577182809723e+17,0.02212464083636288,9.724539161855568e-05
