,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
7,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/DR09252025_Sn11_10cm_LEPS.Spe,111INg,171.28,2251.127923072917,76.8614470786013,0.907,0.009,0.0001192185401775,0.0001476654501063,20899175.186671235,25900367.399382535,10086.474510941716,12500.177316304313,1.8630253911000547,09/25/2025 12:40:52,2064.0,2072.0
11,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/DR09252025_Sn11_10cm_LEPS.Spe,111INg,245.35,1178.5032667481614,44.25946162197555,0.941,0.01,0.0001448327619965,0.0001370516737534,8680693.304384757,8225198.302738419,4189.523795552489,3969.69030054943,0.9751146913289168,09/25/2025 12:40:52,2064.0,2072.0
21,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,111INg,171.28,26528.684953532167,179.8110656935211,0.907,0.009,0.0089988089474298,0.0004199250299849,3429580.7544813794,166596.99065911426,1660.0100457315486,80.6374591767252,1.065183685087128,09/24/2025 07:58:37,1958.0,2066.0
24,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/IDM/BF09242025_Sn11_15cm_IDM.Spe,111INg,245.35,20799.439466472315,165.62483201090237,0.941,0.01,0.0068713916437072,0.0001286372723312,3394180.5073772008,81381.40613027093,1642.8753665910942,39.39080645221245,1.1513660337328435,09/24/2025 07:58:37,1958.0,2066.0
48,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,111INg,171.28,50119.37826853034,293.6825098690136,0.907,0.009,0.0130677743527459,0.0003943067061766,4387100.146299796,143050.35912676845,1182.8255988945257,38.568444089179955,1.8353906244661344,09/25/2025 17:36:27,3575.0,3709.0
50,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/DU09252025_Sn11_10cm_DET2.Spe,111INg,245.35,40724.11624767495,209.4567580775309,0.941,0.01,0.0103886514755728,0.000223127517849,4321988.98479521,108071.05777563162,1165.2706888097089,29.137518947325862,1.1511868362359008,09/25/2025 17:36:27,3575.0,3709.0
79,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,111INg,171.28,1600.5760253954304,68.80243911771696,0.907,0.009,0.0006334473703045,4.121862271359204e-05,2954086.5140608167,243693.05748105692,1543.4098819544497,127.32134664632024,0.864591156155161,09/23/2025 21:57:45,1805.0,1914.0
82,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/AK09232025_Sn11_50cm_DET2.Spe,111INg,245.35,1548.777219708638,61.57247112885072,0.941,0.01,0.0005208277099735,1.4103451702070191e-05,3350965.632048744,185740.6815500653,1750.7657429721755,97.04319830201948,0.869458201185593,09/23/2025 21:57:45,1805.0,1914.0
111,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FI09292025_Sn11_10cm_LEPS.Spe,111INg,171.28,3764.3358362250096,85.15471047762126,0.907,0.009,0.0001192185401775,0.0001476654501063,34846551.80257174,43173656.94028296,3765.159568079064,4664.900803920364,1.781394818834385,09/29/2025 11:37:03,9246.0,9255.0
113,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/FI09292025_Sn11_10cm_LEPS.Spe,111INg,245.35,1869.573010817802,49.63446074100932,0.941,0.01,0.0001448327619965,0.0001370516737534,13731201.100063702,13003307.47517388,1483.6521988183365,1405.0035089328885,1.2794919969799847,09/29/2025 11:37:03,9246.0,9255.0
122,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BF09242025_Sn11_10cm_LEPS.Spe,111INg,171.28,2914.384132638725,72.35544725810476,0.907,0.009,0.0001192185401775,0.0001476654501063,27243239.460576165,33755421.59850541,13224.873524551536,16386.12698956573,1.5744342449919329,09/24/2025 08:50:50,2038.0,2060.0
124,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/LEPS/BF09242025_Sn11_10cm_LEPS.Spe,111INg,245.35,1539.6464022552157,64.14491931351213,0.941,0.01,0.0001448327619965,0.0001370516737534,11418987.456860634,10820568.996059136,5543.197794592541,5252.703396145212,1.1438138772781392,09/24/2025 08:50:50,2038.0,2060.0
135,/Users/hannah.ekeberg/PhD/Ta_Sn_analysis/spectra/Det2/BH09242025_Sn11_18cm_DET2.Spe,111INg,171.28,15219.820432857305,112.45452678521202,0.907,0.009,0.004865552034193,0.0001312574352738,3629983.5173191032,111677.97726023986,1662.0803650728494,51.1346049726373,0.7346065343976227,09/24/2025 10:02:29,2075.0,2184.0
