,foil,isotope,fit,cov
0,Ta05,178TAg,159000410.25084347,8.301316587155512e+16
0,Ta05,180TAg,438769.4501079601,74000717409.72665
0,Ta05,177TAg,19853.88703588931,1075350.6293681148
0,Ta05,176TAg,3907.3570649612066,2382982.9583769306
0,Ta05,176LUm1,227625.5282256957,inf
0,Ta05,177Wg,532085.8835019298,187999442.86595365
0,Ta05,175HFg,52.70286483678384,0.7941785910948405
0,Ta05,180HFm1,790.5182309121428,1052980.3594723167
0,Ta05,175TAg,7940.583770889772,532714.0917584151
0,Ta05,179Wm1,25377299.069267776,inf
0,Ta05,179Wg,5283229.843023289,inf
