,foil,isotope,fit,cov
0,Ta01,175HFg,242.93900476726108,158.3180482469943
0,Ta01,178TAg,1000000.0,0.0
0,Ta01,181Wg,2299.5250639388923,inf
0,Ta01,172HFg,7945.310658935684,inf
0,Ta01,176LUm1,41761226873623.36,inf
0,Ta01,177TAg,420754.8867302243,629338841.0148612
0,Ta01,173HFg,4420.788115295682,27489.381695993354
0,Ta01,173TAg,29130.35179779108,1479066.1456333995
0,Ta01,179LUg,973393.7291057144,inf
0,Ta01,179Wm1,2418674889.3693514,1.1746091748317624e+19
0,Ta01,176TAg,2235209.3643398248,2855697813.6410747
0,Ta01,177Wg,8442861.276426801,47831703488.64963
0,Ta01,179Wg,503566945.2691141,2.5827683997859798e+17
0,Ta01,180HFm1,6677.11669066373,195718658.71730855
0,Ta01,175TAg,38630.99529595988,5003266.700623453
