#ZVView-data-copy:  15-Feb-2026 23:07:00
#=======================================
#
#name:   29-CU-0(P,X)26-FE-59,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  5
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
            59          1.2      0.00052       9.1e-5  # 1987,V.N.Aleksandrov+    ## A0351010  #dY:17.5%  
            70          0.9      0.00081      0.00014  # 1987,V.N.Aleksandrov+    ## A0351010  #dY:17.3%  
            79          2.2       0.0054      0.00095  # 1987,V.N.Aleksandrov+    ## A0351010  #dY:17.6%  
            89          1.9       0.0019      0.00035  # 1987,V.N.Aleksandrov+    ## A0351010  #dY:18.4%  
            98          1.5      0.00069      0.00011  # 1987,V.N.Aleksandrov+    ## A0351010  #dY:15.9%  
          39.6        0.933      7.34e-6      2.65e-6  # 1997,R.Michel+           ## O0276136  #dY:36.1%  
            40            0         8e-5         4e-6  # 1984,L.R.Greenwood+      ## C0537003  #dY:5.0%   
            42        0.618      1.04e-5      1.38e-6  # 1997,R.Michel+           ## O0276136  #dY:13.3%  
          42.4        0.609      1.37e-5      5.03e-6  # 1997,R.Michel+           ## O0276136  #dY:36.7%  
          43.7        0.887      2.91e-5      9.71e-6  # 1997,R.Michel+           ## O0276136  #dY:33.4%  
          44.2        0.576      2.85e-5      4.63e-6  # 1997,R.Michel+           ## O0276136  #dY:16.2%  
          44.2        0.574      2.72e-5      4.47e-6  # 1997,R.Michel+           ## O0276136  #dY:16.4%  
          44.2        0.572      2.16e-5      3.07e-6  # 1997,R.Michel+           ## O0276136  #dY:14.2%  
          44.2        0.894       2.4e-5      3.14e-6  # 1997,R.Michel+           ## O0276136  #dY:13.1%  
          44.6        0.565      2.68e-5      4.98e-6  # 1997,R.Michel+           ## O0276136  #dY:18.6%  
          44.6        0.563      2.52e-5      6.39e-6  # 1997,R.Michel+           ## O0276136  #dY:25.4%  
          45.2        0.853      2.56e-5       6.6e-6  # 1997,R.Michel+           ## O0276136  #dY:25.8%  
          45.4         0.87       3.4e-5      9.37e-6  # 1997,R.Michel+           ## O0276136  #dY:27.6%  
          45.5        0.861      3.18e-5      7.78e-6  # 1997,R.Michel+           ## O0276136  #dY:24.5%  
          45.7        0.844      3.63e-5      6.27e-6  # 1997,R.Michel+           ## O0276136  #dY:17.3%  
          45.9            0      3.42e-5       6.6e-6  # 1992,S.J.Mills+          ## A0507017  #dY:19.3%  
          45.9        0.852      2.33e-5      5.44e-6  # 1997,R.Michel+           ## O0276136  #dY:23.3%  
          45.9         1.23      2.96e-5      8.25e-6  # 1997,R.Michel+           ## O0276136  #dY:27.9%  
          46.2         1.22       3.4e-5      4.55e-6  # 1997,R.Michel+           ## O0276136  #dY:13.4%  
          46.7        0.869      6.15e-5      5.99e-6  # 1997,R.Michel+           ## O0276136  #dY:9.7%   
          46.7         1.22      4.51e-5      5.67e-6  # 1997,R.Michel+           ## O0276136  #dY:12.6%  
          47.1        0.856      6.29e-5      9.02e-6  # 1997,R.Michel+           ## O0276136  #dY:14.3%  
          47.3         0.85      6.45e-5       5.1e-6  # 1997,R.Michel+           ## O0276136  #dY:7.9%   
          47.4        0.832      8.48e-5      8.11e-6  # 1997,R.Michel+           ## O0276136  #dY:9.6%   
            48            0         9e-5       1.2e-5  # 1992,S.J.Mills+          ## A0507017  #dY:13.3%  
          48.1         1.21      6.22e-5      8.37e-6  # 1997,R.Michel+           ## O0276136  #dY:13.5%  
          48.7        0.821     0.000108      1.07e-5  # 1997,R.Michel+           ## O0276136  #dY:9.9%   
          48.8        0.837     0.000127      1.21e-5  # 1997,R.Michel+           ## O0276136  #dY:9.5%   
            49        0.846      0.00013      8.17e-6  # 1997,R.Michel+           ## O0276136  #dY:6.3%   
          49.1         0.34     0.000126       1.3e-5  # 1982,A.Gruetter          ## D0505018  #dY:10.3%  
          49.2        0.828     0.000119      1.03e-5  # 1997,R.Michel+           ## O0276136  #dY:8.7%   
          49.3        0.823     0.000104      8.75e-6  # 1997,R.Michel+           ## O0276136  #dY:8.4%   
            50            0       0.0002         1e-5  # 1984,L.R.Greenwood+      ## C0537003  #dY:5.0%   
          50.1            0     0.000158       1.6e-5  # 1992,S.J.Mills+          ## A0507017  #dY:10.1%  
          50.4        0.818     0.000179      1.41e-5  # 1997,R.Michel+           ## O0276136  #dY:7.9%   
          50.9        0.818     0.000186      1.19e-5  # 1997,R.Michel+           ## O0276136  #dY:6.4%   
            51         1.82     0.000279      3.01e-5  # 1997,R.Michel+           ## O0276136  #dY:10.8%  
          51.2        0.823     0.000225      1.25e-5  # 1997,R.Michel+           ## O0276136  #dY:5.6%   
         51.22          0.4     0.000227         1e-5  # 2021,M.B.Fox+            ## C2702038  #dY:4.4%   
          51.3         1.18     0.000182      1.58e-5  # 1997,R.Michel+           ## O0276136  #dY:8.7%   
            52            0     0.000248       2.3e-5  # 1992,S.J.Mills+          ## A0507017  #dY:9.3%   
            52        0.801      0.00025      1.73e-5  # 1997,R.Michel+           ## O0276136  #dY:6.9%   
          52.1          1.2     0.000209       1.4e-5  # 2018,A.S.Voyles+         ## C2327014  #dY:6.7%   
          52.2        0.788     0.000255      1.53e-5  # 1997,R.Michel+           ## O0276136  #dY:6.0%   
          52.4         0.34     0.000254         1e-5  # 1982,A.Gruetter          ## D0505018  #dY:3.9%   
          52.4         0.34     0.000272            0  # 1982,A.Gruetter          ## D0505018             
          52.4         1.18     0.000211      2.02e-5  # 1997,R.Michel+           ## O0276136  #dY:9.6%   
          52.5        0.792     0.000242      1.44e-5  # 1997,R.Michel+           ## O0276136  #dY:6.0%   
          52.6        0.797     0.000272      1.66e-5  # 1997,R.Michel+           ## O0276136  #dY:6.1%   
         53.24        0.385     0.000322       1.4e-5  # 2021,M.B.Fox+            ## C2702038  #dY:4.3%   
          53.4        0.801     0.000334      1.74e-5  # 1997,R.Michel+           ## O0276136  #dY:5.2%   
          53.4         1.18     0.000258       3.1e-5  # 1997,R.Michel+           ## O0276136  #dY:12.0%  
          53.5        0.789     0.000333      2.15e-5  # 1997,R.Michel+           ## O0276136  #dY:6.5%   
          53.8         1.17     0.000327      2.67e-5  # 1997,R.Michel+           ## O0276136  #dY:8.2%   
