#ZVView-data-copy:   3-Mar-2026 14:52:17
#=======================================
#
#name:   28-NI-0(P,X)27-CO-58,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  268
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          2.93         0.76      0.00017         3e-5  # 2020,D.Adel+             ## D4410007  #dY:17.6%  
             4          0.3      0.00012         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:25.0%  
           4.2          1.1       0.0002         3e-5  # 2014,N.Amjed+            ## D4301009  #dY:15.0%  
             5          0.5      0.00014         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:21.4%  
           5.4            1       0.0002         3e-5  # 2014,N.Amjed+            ## D4301009  #dY:15.0%  
           5.5          0.5      0.00017         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:17.6%  
          6.03         0.72      0.00019       0.0001  # 2020,D.Adel+             ## D4410007  #dY:52.6%  
           6.2          0.5      0.00019         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:15.8%  
           6.5          0.4      0.00022         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:13.6%  
           6.5          0.9       0.0002         3e-5  # 2014,N.Amjed+            ## D4301009  #dY:15.0%  
           7.1          0.4      0.00025         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:12.0%  
          7.21         0.71      0.00018       0.0001  # 2020,D.Adel+             ## D4410007  #dY:55.6%  
           7.4          0.4      0.00032         3e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:9.4%   
           7.4          0.9       0.0003         4e-5  # 2014,N.Amjed+            ## D4301009  #dY:13.3%  
          7.53         0.69      0.00013       0.0001  # 2020,D.Adel+             ## D4410007  #dY:76.9%  
           7.7            2       0.0013       0.0001  # 2014,N.Amjed+            ## D4301009  #dY:7.7%   
          7.75         0.54     0.000375       4.1e-5  # 1980,R.Michel+           ## A0145021  #dY:10.9%  
             8          0.4      0.00054         4e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:7.4%   
           8.2          1.5      0.00291      0.00044  # 2015,A.Hermanne+         ## D4324020  #dY:15.1%  
           8.3          0.8       0.0004         5e-5  # 2014,N.Amjed+            ## D4301009  #dY:12.5%  
           8.8          0.4       0.0006         5e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.3%   
          8.89         0.58     0.000533       9.9e-5  # 1980,R.Michel+           ## A0145021  #dY:18.6%  
          8.99         0.68      0.00021      0.00012  # 2020,D.Adel+             ## D4410007  #dY:57.1%  
           9.1          0.8       0.0006         7e-5  # 2014,N.Amjed+            ## D4301009  #dY:11.7%  
           9.2          1.9       0.0014       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:14.3%  
           9.4          0.4      0.00068         5e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:7.4%   
          9.49         0.66      0.00019      0.00014  # 2020,D.Adel+             ## D4410007  #dY:73.7%  
           9.8          0.7       0.0007         8e-5  # 2014,N.Amjed+            ## D4301009  #dY:11.4%  
            10          0.3      0.00078         6e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:7.7%   
          10.3          1.3      0.00024         4e-5  # 2015,A.Hermanne+         ## D4324020  #dY:16.7%  
         10.39         1.86        0.002      0.00025  # 2016,E.Garrido+          ## O2315013  #dY:12.5%  
          10.5          0.7       0.0008       0.0001  # 2014,N.Amjed+            ## D4301009  #dY:12.5%  
         10.56         0.63      0.00031       0.0002  # 2020,D.Adel+             ## D4410007  #dY:64.5%  
         10.62         0.61      0.00038         8e-5  # 2020,D.Adel+             ## D4410007  #dY:21.1%  
         10.71         0.43      0.00086       9.5e-5  # 1980,R.Michel+           ## A0145021  #dY:11.0%  
            11          4.2       0.0017       0.0003  # 1987,V.N.Aleksandrov+    ## A0351003  #dY:17.6%  
            11          1.8       0.0015       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:13.3%  
          11.1          0.3      0.00082         6e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:7.3%   
          11.2          0.6       0.0008         9e-5  # 2014,N.Amjed+            ## D4301009  #dY:11.3%  
          11.3          1.4       0.0011       0.0001  # 2014,N.Amjed+            ## D4301009  #dY:9.1%   
          11.7          0.3      0.00084         7e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.3%   
          11.9          0.6       0.0009      0.00011  # 2014,N.Amjed+            ## D4301009  #dY:12.2%  
          12.2          0.3      0.00084         7e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.3%   
          12.2          1.2      0.00282       0.0004  # 2015,A.Hermanne+         ## D4324020  #dY:14.2%  
         12.21         0.59      0.00078      0.00013  # 2020,D.Adel+             ## D4410007  #dY:16.7%  
          12.4          1.3       0.0012       0.0001  # 2014,N.Amjed+            ## D4301009  #dY:8.3%   
          12.5          0.5        0.001      0.00011  # 2014,N.Amjed+            ## D4301009  #dY:11.0%  
          12.5         0.57       0.0011       0.0002  # 2020,D.Adel+             ## D4410007  #dY:18.2%  
         12.78         0.39      0.00106      0.00012  # 1980,R.Michel+           ## A0145021  #dY:11.3%  
            13          1.6       0.0016       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:12.5%  
          13.1          0.3      0.00092         7e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:7.6%   
          13.1          0.5        0.001      0.00011  # 2014,N.Amjed+            ## D4301009  #dY:11.0%  
         13.16         0.55      0.00134      0.00021  # 2020,D.Adel+             ## D4410007  #dY:15.7%  
          13.4          1.2       0.0013       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:15.4%  
          13.7          0.3      0.00099         8e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.1%   
          13.7          0.4        0.001      0.00012  # 2014,N.Amjed+            ## D4301009  #dY:12.0%  
         13.78         0.52       0.0013       0.0005  # 2020,D.Adel+             ## D4410007  #dY:38.5%  
          13.8          1.1      0.00285       0.0004  # 2015,A.Hermanne+         ## D4324020  #dY:14.0%  
         13.86         1.49       0.0022      0.00023  # 2016,E.Garrido+          ## O2315013  #dY:10.5%  
          14.2          0.2      0.00098         8e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.2%   
          14.2          0.4        0.001      0.00012  # 2014,N.Amjed+            ## D4301009  #dY:12.0%  
          14.4          1.2       0.0013       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:15.4%  
         14.54          0.5      0.00134      0.00022  # 2020,D.Adel+             ## D4410007  #dY:16.4%  
         14.59          0.3      0.00118      0.00013  # 1980,R.Michel+           ## A0145021  #dY:11.0%  
          14.8          0.3        0.001      0.00013  # 2014,N.Amjed+            ## D4301009  #dY:13.0%  
          14.8          1.5       0.0017       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:11.8%  
          14.9          0.2      0.00088         7e-5  # 2016,Md.S.Uddin+         ## D0802009  #dY:8.0%   
          15.3          0.2        0.001      0.00012  # 2014,N.Amjed+            ## D4301009  #dY:12.0%  
          15.3          1.1       0.0014       0.0002  # 2014,N.Amjed+            ## D4301009  #dY:14.3%  
          15.3            1      0.00356       0.0005  # 2015,A.Hermanne+         ## D4324020  #dY:14.0%  
         15.38         0.48      0.00151      0.00025  # 2020,D.Adel+             ## D4410007  #dY:16.6%  
