#ZVView-data-copy:   3-Mar-2026 15:05:22
#=======================================
#
#name:   28-NI-0(P,X)27-CO-57,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  301
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           6.5          0.4      0.00013         2e-5  # 2016,Md.S.Uddin+         ## D0802008  #dY:15.4%  
           6.5          0.9       0.0002         4e-5  # 2014,N.Amjed+            ## D4301008  #dY:20.0%  
           7.1          0.4      0.00037         4e-5  # 2016,Md.S.Uddin+         ## D0802008  #dY:10.8%  
           7.4          0.4       0.0017      0.00012  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.1%   
           7.4          0.9       0.0009       0.0001  # 2014,N.Amjed+            ## D4301008  #dY:11.1%  
           7.4          1.2       0.0026       0.0015  # 2011,M.U.Khandaker+      ## D7002004  #dY:57.7%  
           7.7            2       0.0048       0.0005  # 2014,N.Amjed+            ## D4301008  #dY:10.4%  
             8          0.4       0.0026       0.0002  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.7%   
           8.2          1.5        0.046        0.006  # 2015,A.Hermanne+         ## D4324019  #dY:13.0%  
           8.3          0.8       0.0025       0.0003  # 2014,N.Amjed+            ## D4301008  #dY:12.0%  
           8.5          0.4       0.0007         1e-5  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:1.4%   
           8.8          0.4       0.0052       0.0004  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.7%   
           8.9          1.2       0.0032       0.0014  # 2011,M.U.Khandaker+      ## D7002004  #dY:43.7%  
           9.1          0.8       0.0044       0.0005  # 2014,N.Amjed+            ## D4301008  #dY:11.4%  
           9.2          1.9       0.0097       0.0011  # 2014,N.Amjed+            ## D4301008  #dY:11.3%  
           9.4          0.4       0.0075       0.0006  # 2016,Md.S.Uddin+         ## D0802008  #dY:8.0%   
           9.4          0.4       0.0014       0.0001  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:7.1%   
           9.8          0.7       0.0074       0.0008  # 2014,N.Amjed+            ## D4301008  #dY:10.8%  
           9.9          0.4       0.0061       0.0006  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.8%   
            10          0.3       0.0096       0.0007  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.3%   
          10.1          0.4       0.0045       0.0006  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:13.3%  
          10.2          1.2       0.0049       0.0017  # 2011,M.U.Khandaker+      ## D7002004  #dY:34.7%  
          10.3          0.4        0.007      0.00072  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.3%  
          10.3          1.3         0.05        0.006  # 2015,A.Hermanne+         ## D4324019  #dY:12.0%  
         10.39         1.86      0.00545      0.00059  # 2016,E.Garrido+          ## O2315012  #dY:10.8%  
          10.5          0.7       0.0098       0.0011  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            11          1.8       0.0143       0.0016  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            11          0.4       0.0053       0.0007  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:13.2%  
          11.1          0.3       0.0117       0.0008  # 2016,Md.S.Uddin+         ## D0802008  #dY:6.8%   
          11.2          0.6       0.0115       0.0013  # 2014,N.Amjed+            ## D4301008  #dY:11.3%  
          11.3          1.4       0.0143       0.0016  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          11.4          0.4       0.0108       0.0011  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.2%  
          11.4          1.2       0.0106       0.0021  # 2011,M.U.Khandaker+      ## D7002004  #dY:19.8%  
          11.6          0.4        0.006        0.001  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:16.7%  
          11.7          0.3       0.0146       0.0011  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.5%   
          11.9          0.4       0.0119       0.0012  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.1%  
          11.9          0.6       0.0138       0.0016  # 2014,N.Amjed+            ## D4301008  #dY:11.6%  
          12.2          0.3       0.0212       0.0015  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.1%   
          12.2          1.2        0.055        0.007  # 2015,A.Hermanne+         ## D4324019  #dY:12.7%  
          12.3          0.4       0.0073       0.0012  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:16.4%  
          12.4          1.3       0.0235       0.0026  # 2014,N.Amjed+            ## D4301008  #dY:11.1%  
          12.5          0.5       0.0178        0.002  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          12.5          1.1        0.026       0.0043  # 2011,M.U.Khandaker+      ## D7002004  #dY:16.5%  
          12.9          0.4        0.018        0.003  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:16.7%  
            13          1.6       0.0633       0.0071  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          13.1          0.3        0.042        0.003  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.1%   
          13.1          0.4       0.0252       0.0027  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.7%  
          13.1          0.5       0.0295       0.0033  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          13.4          0.3       0.0346       0.0038  # 1991,F.Tarkanyi+         ## D4002003  #dY:11.0%  
          13.4          1.2       0.0577       0.0065  # 2014,N.Amjed+            ## D4301008  #dY:11.3%  
          13.6          0.4        0.029        0.006  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:20.7%  
          13.7          0.3        0.076        0.006  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.9%   
          13.7          0.4       0.0509       0.0057  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          13.8          1.1        0.094        0.011  # 2015,A.Hermanne+         ## D4324019  #dY:11.7%  
         13.86         1.49      0.02442      0.00172  # 2016,E.Garrido+          ## O2315012  #dY:7.0%   
          14.2          0.2         0.11        0.008  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.3%   
          14.2          0.4       0.0865       0.0097  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          14.2          0.4        0.052        0.012  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:23.1%  
          14.4          0.3        0.081        0.008  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.9%   
          14.4          1.2       0.1279       0.0144  # 2014,N.Amjed+            ## D4301008  #dY:11.3%  
          14.7          0.3        0.103         0.01  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.7%   
          14.8          0.3       0.1173       0.0132  # 2014,N.Amjed+            ## D4301008  #dY:11.3%  
          14.8          1.5       0.2084       0.0234  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          14.9          0.2        0.158        0.011  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.0%   
          15.2          0.4        0.112        0.021  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:18.7%  
          15.3          0.2       0.1771       0.0199  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          15.3          1.1       0.2238       0.0251  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          15.3            1        0.224        0.027  # 2015,A.Hermanne+         ## D4324019  #dY:12.1%  
          15.4            1       0.1493       0.0144  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.6%   
         15.43         1.35      0.13296      0.01568  # 2016,E.Garrido+          ## O2315012  #dY:11.8%  
          15.5          0.2        0.202        0.015  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.4%   
          15.6          0.3        0.169        0.017  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.1%  
          15.7          0.2        0.222        0.016  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.2%   
          15.7          0.3         0.14            0  # 1991,P.Jung              ## D4058044             
          15.8          0.1       0.2438       0.0274  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          15.9          0.2        0.234        0.017  # 2016,Md.S.Uddin+         ## D0802008  #dY:7.3%   
          15.9          0.4        0.195        0.026  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:13.3%  
            16          0.3          0.2        0.019  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.5%   
            16          0.4        0.155        0.025  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:16.1%  
          16.2            1       0.3136       0.0352  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          16.3          0.1       0.2791       0.0313  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          16.5          1.4       0.3306       0.0371  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          16.7          0.9        0.352        0.042  # 2015,A.Hermanne+         ## D4324019  #dY:11.9%  
          16.8         0.02       0.3269       0.0367  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          16.9          0.3        0.261        0.029  # 1991,F.Tarkanyi+         ## D4002003  #dY:11.1%  
          16.9          0.4        0.261         0.03  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:11.5%  
            17          0.9       0.3953       0.0444  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
         17.33          1.2      0.26899      0.01839  # 2016,E.Garrido+          ## O2315012  #dY:6.8%   
          17.5          0.3        0.303        0.032  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.6%  
          17.5          0.4        0.261         0.03  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:11.5%  
         17.62         1.17      0.31311      0.04196  # 2016,E.Garrido+          ## O2315012  #dY:13.4%  
          17.7          0.4        0.292        0.034  # 1991,F.Tarkanyi+         ## D4002003  #dY:11.6%  
          17.8          0.9       0.4464       0.0501  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          17.9          0.4        0.333        0.041  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:12.3%  
            18          1.3       0.4624       0.0519  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            18            1       0.3345       0.0315  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.4%   
          18.1          0.8        0.437        0.052  # 2015,A.Hermanne+         ## D4324019  #dY:11.9%  
          18.2          0.3         0.34        0.036  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.6%  
          18.3        0.854        0.414       0.0218  # 1997,R.Michel+           ## O0276110  #dY:5.3%   
          18.3          0.4        0.326        0.042  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:12.9%  
          18.4          0.4        0.348        0.036  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.3%  
          18.5          0.3        0.363        0.037  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.2%  
          18.6          0.8       0.4922       0.0553  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          18.8          0.4         0.38        0.042  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:11.1%  
          19.1          0.4        0.378        0.037  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.8%   
          19.1        0.807        0.471       0.0242  # 1997,R.Michel+           ## O0276110  #dY:5.1%   
          19.3          0.2        0.395        0.038  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.6%   
          19.3          0.7        0.487        0.058  # 2015,A.Hermanne+         ## D4324019  #dY:11.9%  
          19.4          0.8       0.5306       0.0596  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          19.6          0.2        0.395        0.038  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.6%   
         19.63         1.08       0.4363      0.05585  # 2016,E.Garrido+          ## O2315012  #dY:12.8%  
          19.7          1.2       0.5296       0.0595  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          19.7          0.4        0.391         0.04  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:10.2%  
          19.7          0.4        0.378        0.043  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:11.4%  
            20          0.4        0.416        0.041  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.9%   
          20.1          0.7        0.548       0.0615  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          20.3            1       0.3961       0.0373  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.4%   
          20.4          0.2        0.418        0.041  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.8%   
          20.5          0.7        0.526        0.063  # 2015,A.Hermanne+         ## D4324019  #dY:12.0%  
          20.6          0.2        0.416        0.041  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.9%   
          20.9          0.3        0.423        0.041  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.7%   
          20.9          0.6       0.5619       0.0631  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
         20.99         0.45        0.421        0.043  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:10.2%  
            21          1.6       0.5352       0.0601  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            21          0.9       0.3785       0.0357  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.4%   
          21.4          0.2        0.431        0.042  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.7%   
          21.4         0.45        0.433        0.042  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.7%   
          21.5          0.3        0.432        0.042  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.7%   
          21.5          1.1       0.5457       0.0613  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          21.6          0.5       0.5654       0.0635  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          21.6          0.7        0.546        0.066  # 2015,A.Hermanne+         ## D4324019  #dY:12.1%  
         21.68         0.45        0.429        0.043  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:10.0%  
          21.7          0.2         0.43        0.043  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.0%  
          22.1          0.3        0.436        0.044  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.1%  
          22.1          1.5       0.5452       0.0612  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          22.2          0.4       0.5752       0.0646  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          22.3         0.45        0.425         0.04  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.4%   
         22.35         0.45        0.435        0.043  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.9%   
          22.6          0.3        0.441        0.044  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.0%  
          22.7          0.6        0.554        0.066  # 2015,A.Hermanne+         ## D4324019  #dY:11.9%  
          22.9          0.3       0.5783       0.0649  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            23          1.4       0.5579       0.0626  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
            23         0.45        0.443        0.044  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.9%   
          23.1          0.9       0.3934       0.0371  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.4%   
          23.1         0.45        0.431        0.042  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.7%   
          23.2          0.9       0.5374       0.0603  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          23.4          0.3        0.441        0.043  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.8%   
          23.6          0.2       0.5807       0.0652  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          23.8          0.6        0.581         0.07  # 2015,A.Hermanne+         ## D4324019  #dY:12.0%  
          23.8          0.9       0.3639       0.0345  # 2011,M.U.Khandaker+      ## D7002004  #dY:9.5%   
          23.8        0.734        0.465       0.0252  # 1997,R.Michel+           ## O0276110  #dY:5.4%   
          23.8         0.45         0.44        0.044  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:10.0%  
            24          0.3        0.454        0.045  # 1991,F.Tarkanyi+         ## D4002003  #dY:9.9%   
            24          1.3        0.567       0.0636  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          24.1         0.45        0.443        0.044  # 2007,F.S.Al-Saleh+       ## O1503006  #dY:9.9%   
          24.2          0.1       0.5796       0.0651  # 2014,N.Amjed+            ## D4301008  #dY:11.2%  
          24.4         3.17        0.477       0.0484  # 1997,R.Michel+           ## O0276110  #dY:10.1%  
          24.4         3.17        0.541       0.0438  # 1997,R.Michel+           ## O0276110  #dY:8.1%   
          24.4         3.17         0.53       0.0448  # 1997,R.Michel+           ## O0276110  #dY:8.5%   
          24.5          0.3        0.451        0.045  # 1991,F.Tarkanyi+         ## D4002003  #dY:10.0%  
