#ZVView-data-copy:   3-Mar-2026 12:48:01
#=======================================
#
#name:   28-NI-0(P,X)29-CU-60,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  100
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           6.5          0.4      0.00032         5e-5  # 2016,Md.S.Uddin+         ## D0802004  #dY:15.6%  
           6.6          0.4       0.0009       0.0001  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:11.1%  
           7.1          0.4       0.0067       0.0006  # 2016,Md.S.Uddin+         ## D0802004  #dY:9.0%   
           7.4          0.4       0.0181       0.0021  # 2016,Md.S.Uddin+         ## D0802004  #dY:11.6%  
           7.4          0.9       0.0072       0.0035  # 2014,N.Amjed+            ## D4301002  #dY:48.6%  
          7.53         0.69       0.0353       0.0038  # 2020,D.Adel+             ## D4410002  #dY:10.8%  
           7.6          0.4       0.0105        0.002  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:19.0%  
             8          0.4       0.0415       0.0042  # 2016,Md.S.Uddin+         ## D0802004  #dY:10.1%  
           8.3          0.8       0.0434       0.0063  # 2014,N.Amjed+            ## D4301002  #dY:14.5%  
           8.5          0.4        0.025        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:12.0%  
           8.8          0.4       0.0584        0.006  # 2016,Md.S.Uddin+         ## D0802004  #dY:10.3%  
          8.99         0.68       0.0634      0.00472  # 2020,D.Adel+             ## D4410002  #dY:7.4%   
           9.1          0.8       0.0448       0.0068  # 2014,N.Amjed+            ## D4301002  #dY:15.2%  
           9.4          0.4       0.0663       0.0045  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.8%   
           9.4          0.4        0.058        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:8.6%   
          9.49         0.66       0.0693      0.00534  # 2020,D.Adel+             ## D4410002  #dY:7.7%   
           9.8          0.7       0.0744        0.009  # 2014,N.Amjed+            ## D4301002  #dY:12.1%  
            10          0.3       0.0798       0.0084  # 2016,Md.S.Uddin+         ## D0802004  #dY:10.5%  
          10.1          0.4        0.069        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:7.2%   
          10.5          0.7       0.0794       0.0094  # 2014,N.Amjed+            ## D4301002  #dY:11.8%  
         10.56         0.63       0.0785      0.00656  # 2020,D.Adel+             ## D4410002  #dY:8.4%   
         10.62         0.61       0.0892       0.0077  # 2020,D.Adel+             ## D4410002  #dY:8.6%   
            11          0.4        0.079        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.3%   
          11.1          0.3       0.0738        0.005  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.8%   
          11.2          0.6       0.0799       0.0093  # 2014,N.Amjed+            ## D4301002  #dY:11.6%  
          11.6          0.4        0.089        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.7%   
          11.7          0.3       0.0733        0.005  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.8%   
          11.9          0.6       0.0879       0.0101  # 2014,N.Amjed+            ## D4301002  #dY:11.5%  
          12.2          0.3       0.0753       0.0052  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.9%   
         12.21         0.59       0.0966       0.0086  # 2020,D.Adel+             ## D4410002  #dY:8.9%   
          12.3          0.4        0.095        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.3%   
          12.5          0.5       0.0827       0.0095  # 2014,N.Amjed+            ## D4301002  #dY:11.5%  
          12.5         0.57        0.107       0.0095  # 2020,D.Adel+             ## D4410002  #dY:8.9%   
          12.9          0.4        0.102        0.007  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.9%   
          13.1          0.3       0.0788       0.0054  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.9%   
          13.1          0.5        0.087       0.0099  # 2014,N.Amjed+            ## D4301002  #dY:11.4%  
         13.16         0.55        0.104       0.0091  # 2020,D.Adel+             ## D4410002  #dY:8.8%   
          13.6          0.4        0.106        0.007  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.6%   
          13.7          0.3       0.0744       0.0052  # 2016,Md.S.Uddin+         ## D0802004  #dY:7.0%   
          13.7          0.4       0.0832       0.0094  # 2014,N.Amjed+            ## D4301002  #dY:11.3%  
         13.78         0.52       0.0951      0.00843  # 2020,D.Adel+             ## D4410002  #dY:8.9%   
          14.2          0.2       0.0684       0.0048  # 2016,Md.S.Uddin+         ## D0802004  #dY:7.0%   
          14.2          0.4        0.103        0.007  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.8%   
         14.54          0.5      0.09275       0.0081  # 2020,D.Adel+             ## D4410002  #dY:8.7%   
          14.8          0.3       0.0799       0.0096  # 2014,N.Amjed+            ## D4301002  #dY:12.0%  
          14.9          0.2       0.0588       0.0041  # 2016,Md.S.Uddin+         ## D0802004  #dY:7.0%   
          15.2          0.4        0.099        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:6.1%   
          15.3          0.2       0.0669       0.0079  # 2014,N.Amjed+            ## D4301002  #dY:11.8%  
         15.38         0.48      0.07605      0.00765  # 2020,D.Adel+             ## D4410002  #dY:10.1%  
          15.5          0.2       0.0482       0.0035  # 2016,Md.S.Uddin+         ## D0802004  #dY:7.3%   
          15.7          0.2       0.0467       0.0032  # 2016,Md.S.Uddin+         ## D0802004  #dY:6.9%   
         15.79         0.45       0.0562       0.0057  # 2020,D.Adel+             ## D4410002  #dY:10.1%  
          15.8          0.1       0.0594        0.007  # 2014,N.Amjed+            ## D4301002  #dY:11.8%  
          15.9          0.2       0.0443       0.0033  # 2016,Md.S.Uddin+         ## D0802004  #dY:7.4%   
          15.9          0.4        0.077        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:7.8%   
            16          0.4        0.072        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:8.3%   
          16.3          0.1       0.0484       0.0056  # 2014,N.Amjed+            ## D4301002  #dY:11.6%  
         16.62          0.4       0.0451      0.00543  # 2020,D.Adel+             ## D4410002  #dY:12.0%  
          16.8         0.02       0.0391       0.0045  # 2014,N.Amjed+            ## D4301002  #dY:11.5%  
          16.9          0.4         0.07        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:8.6%   
          17.5          0.4        0.059        0.006  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:10.2%  
          17.9          0.4        0.052        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:9.6%   
          18.6          0.4        0.045        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:11.1%  
          19.7          0.4         0.03        0.004  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:13.3%  
          19.7          0.4        0.028        0.005  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:17.9%  
         20.99         0.45         0.02        0.004  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:20.0%  
          21.4         0.45        0.022        0.004  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:18.2%  
          22.3         0.45         0.02        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:15.0%  
          22.8            0       0.0644        0.007  # 2007,E.Betak+            ## D1036010  #dY:10.9%  
            23         0.45        0.022        0.004  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:18.2%  
          23.1         0.45        0.023        0.004  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:17.4%  
         23.84         0.45        0.013        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:23.1%  
          23.9         0.45       0.0135       0.0024  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:17.8%  
          24.1         0.45        0.016        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:18.7%  
         24.79         0.45        0.014        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:21.4%  
          25.4          0.5       0.0121       0.0024  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:19.8%  
          25.8          0.5       0.0102       0.0015  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:14.7%  
            26          0.5       0.0115       0.0022  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:19.1%  
          26.5          0.5       0.0109       0.0018  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:16.5%  
            27          0.5        0.012       0.0023  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:19.2%  
          27.2          0.5       0.0083       0.0021  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:25.3%  
          27.4          0.5        0.013        0.003  # 2007,F.S.Al-Saleh+       ## O1503008  #dY:23.1%  
            36          1.3      0.00054       9.1e-5  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:16.9%  
            43            1      0.00525      0.00042  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:8.0%   
            50          2.1       0.0025       0.0005  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:20.0%  
            59          1.2       0.0021      0.00039  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:18.6%  
            66            1      0.00224      0.00019  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:8.5%   
            70          0.9       0.0018      0.00033  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:18.3%  
            79          2.2       0.0013      0.00024  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:18.5%  
            89          1.9       0.0015      0.00025  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:16.7%  
            97            1      0.00145      0.00013  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:9.0%   
            98          1.5       0.0013      0.00023  # 1987,V.N.Aleksandrov+    ## A0351017  #dY:17.7%  
           148            1     0.000814       7.9e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:9.7%   
           249            1     0.000474       4.2e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:8.9%   
           399            2      0.00034       3.6e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:10.6%  
           599            2     0.000309       4.1e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:13.3%  
           799            2     0.000252       3.1e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:12.3%  
          1199            3     0.000296       3.2e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:10.8%  
          1598            4     0.000211       2.5e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:11.8%  
          2605            8     0.000197       3.3e-5  # 2011,Yu.E.Titarenko+     ## A0906030  #dY:16.8%  
//
#-------------------------------------------------------------------------------
