#ZVView-data-copy:  15-Feb-2026 15:30:14
#=======================================
#
#name:   29-CU-0(P,X)29-CU-61,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  47
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          23.3         0.34      0.00551    0.0001653  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          23.6          0.6      0.00697      0.00052  # 2021,A.S.Voyles+         ## C2921028  #dY:7.5%   
          24.2         0.34      0.00876    0.0002628  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          24.3            0        0.006       0.0016  # 1992,S.J.Mills+          ## A0507009  #dY:26.7%  
          24.5          0.3       0.0104       0.0011  # 2015,M.Shahid+           ## D7015004  #dY:10.6%  
          25.2         0.34      0.01469    0.0004407  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          25.3        0.829       0.0176      0.00172  # 1997,R.Michel+           ## O0276137  #dY:9.8%   
          25.8        0.829       0.0203      0.00308  # 1997,R.Michel+           ## O0276137  #dY:15.2%  
          26.6          0.3       0.0279        0.002  # 2015,M.Shahid+           ## D7015004  #dY:7.2%   
          26.7         0.34       0.0301     0.000903  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
            27            0     0.086001      0.03126  # 2003,H.Yashima+          ## E1829068  #dY:36.3%  
          27.1         0.34       0.0326     0.000978  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          27.3         0.34       0.0385     0.001155  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          27.6            0       0.0462       0.0043  # 1992,S.J.Mills+          ## A0507009  #dY:9.3%   
          27.8        0.803       0.0542      0.00319  # 1997,R.Michel+           ## O0276137  #dY:5.9%   
          28.5          0.3       0.0562       0.0037  # 2015,M.Shahid+           ## D7015004  #dY:6.6%   
          29.2         0.78       0.0786      0.00602  # 1997,R.Michel+           ## O0276137  #dY:7.7%   
         29.21        0.485       0.1041       0.0072  # 2021,A.S.Voyles+         ## C2921028  #dY:6.9%   
          29.6         0.34       0.0749     0.002247  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          30.2        0.774       0.0996      0.00549  # 1997,R.Michel+           ## O0276137  #dY:5.5%   
          30.4          0.3       0.0967       0.0063  # 2015,M.Shahid+           ## D7015004  #dY:6.5%   
          30.5         0.34       0.0919     0.002757  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          30.6            0       0.1102       0.0093  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
          32.1         0.34       0.1139     0.003417  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          32.1         0.34       0.1151     0.003453  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          32.2          0.3       0.1217       0.0078  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
          32.5        0.745        0.134      0.00706  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
            33        0.742        0.148       0.0107  # 1997,R.Michel+           ## O0276137  #dY:7.2%   
          33.4            0        0.158        0.013  # 1992,S.J.Mills+          ## A0507009  #dY:8.2%   
          33.9          0.2       0.1476       0.0095  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
         34.06         0.43        0.155         0.01  # 2021,A.S.Voyles+         ## C2921028  #dY:6.5%   
          34.3         0.34       0.1391     0.004173  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          34.7        0.715        0.153        0.008  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          35.1          1.9        0.168        0.023  # 2016,S.A.Graves+         ## C2243008  #dY:13.7%  
         35.28        0.225       0.1827       0.0044  # 2020,J.T.Morrell+        ## C3074010  #dY:2.4%   
          35.5          0.2       0.1535       0.0099  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
          36.1            0        0.174        0.014  # 1992,S.J.Mills+          ## A0507009  #dY:8.0%   
          36.7         0.09       0.1874       0.0082  # 2021,M.B.Fox+            ## C2702041  #dY:4.4%   
          36.7        0.689        0.158      0.00835  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          36.9         0.34       0.1494     0.004482  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          37.1          0.2       0.1574       0.0101  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
         38.37         0.21       0.1833       0.0072  # 2020,J.T.Morrell+        ## C3074010  #dY:3.9%   
          38.4        0.085       0.1798       0.0077  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
         38.42        0.395        0.161        0.011  # 2021,A.S.Voyles+         ## C2921028  #dY:6.8%   
          38.6            0        0.166        0.014  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
          38.6         0.34       0.1464     0.004392  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
          38.6        0.667        0.167       0.0119  # 1997,R.Michel+           ## O0276137  #dY:7.1%   
          38.7          0.2       0.1566       0.0101  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
          38.7        0.671        0.151      0.00791  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          38.9         1.27        0.157       0.0113  # 1997,R.Michel+           ## O0276137  #dY:7.2%   
          40.1          0.2       0.1483       0.0095  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
          40.6        0.641        0.137      0.00721  # 1997,R.Michel+           ## O0276137  #dY:5.3%   
          40.9         0.34       0.1306     0.003918  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
         41.05         1.54       0.1571       0.0086  # 2018,A.S.Voyles+         ## C2327016  #dY:5.5%   
          41.1        0.631        0.148       0.0106  # 1997,R.Michel+           ## O0276137  #dY:7.2%   
         41.25          0.2       0.1647       0.0093  # 2020,J.T.Morrell+        ## C3074010  #dY:5.6%   
          41.5            0        0.151        0.012  # 1992,S.J.Mills+          ## A0507009  #dY:7.9%   
          41.6          0.2       0.1358       0.0087  # 2015,M.Shahid+           ## D7015004  #dY:6.4%   
            42            0      0.11571       0.0034  # 2003,H.Yashima+          ## E1829068  #dY:2.9%   
          42.3         0.08       0.1569       0.0067  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
          42.4        0.609        0.121      0.00629  # 1997,R.Michel+           ## O0276137  #dY:5.2%   
          42.5         0.34       0.1224     0.003672  # 1982,A.Gruetter          ## D0505007  #dY:3.0%   
            43          0.2        0.125       0.0081  # 2015,M.Shahid+           ## D7015004  #dY:6.5%   
          43.5         1.24        0.142       0.0103  # 1997,R.Michel+           ## O0276137  #dY:7.3%   
          43.7        0.887        0.116      0.00622  # 1997,R.Michel+           ## O0276137  #dY:5.4%   
          43.8            0        0.131        0.011  # 1992,S.J.Mills+          ## A0507009  #dY:8.4%   
          43.9         0.08       0.1377       0.0059  # 2021,M.B.Fox+            ## C2702041  #dY:4.3%   
            44         0.19       0.1424        0.002  # 2020,J.T.Morrell+        ## C3074010  #dY:1.4%   
