#ZVView-data-copy:  15-Feb-2026 22:44:16
#=======================================
#
#name:   29-CU-0(P,X)28-NI-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  30
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          47.3        0.075     0.000909       3.2e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.5%   
          47.3         0.85     0.000876      5.26e-5  # 1997,R.Michel+           ## O0276134  #dY:6.0%   
          47.4        0.832      0.00094      7.76e-5  # 1997,R.Michel+           ## O0276134  #dY:8.3%   
            48            0      0.00106       0.0001  # 1992,S.J.Mills+          ## A0507011  #dY:9.4%   
            48          1.6     0.000981       7.5e-5  # 2016,S.A.Graves+         ## C2243013  #dY:7.6%   
          48.7        0.821      0.00112       7.3e-5  # 1997,R.Michel+           ## O0276134  #dY:6.5%   
          48.8        0.837      0.00117      6.35e-5  # 1997,R.Michel+           ## O0276134  #dY:5.4%   
            49        0.846       0.0012      6.45e-5  # 1997,R.Michel+           ## O0276134  #dY:5.4%   
          49.1         0.34     0.001166     3.498e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          49.1         0.34     0.001181     3.543e-5  # 1982,A.Gruetter          ## D0505009  #dY:3.0%   
          49.2        0.828      0.00117      7.17e-5  # 1997,R.Michel+           ## O0276134  #dY:6.1%   
          49.3        0.823      0.00102      6.46e-5  # 1997,R.Michel+           ## O0276134  #dY:6.3%   
          49.9         0.07     0.001502       4.7e-5  # 2021,M.B.Fox+            ## C2702037  #dY:3.1%   
            50            0      0.00187      9.35e-5  # 1984,L.R.Greenwood+      ## C0537005  #dY:5.0%   
          50.1            0       0.0014      0.00013  # 1992,S.J.Mills+          ## A0507011  #dY:9.3%   
          50.3          1.2       0.0012      9.05e-5  # 1997,R.Michel+           ## O0276134  #dY:7.5%   
          50.4        0.818      0.00152      8.09e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
          50.5          1.3      0.00187     0.000194  # 1997,R.Michel+           ## O0276134  #dY:10.4%  
          50.9        0.818      0.00161      9.45e-5  # 1997,R.Michel+           ## O0276134  #dY:5.9%   
          51.2        0.823      0.00162      8.62e-5  # 1997,R.Michel+           ## O0276134  #dY:5.3%   
         51.22          0.4     0.001985         9e-5  # 2021,M.B.Fox+            ## C2702037  #dY:4.5%   
          51.3         1.18      0.00152     0.000116  # 1997,R.Michel+           ## O0276134  #dY:7.6%   
            52            0      0.00189      0.00017  # 1992,S.J.Mills+          ## A0507011  #dY:9.0%   
