#ZVView-data-copy:   4-Feb-2026 08:15:09
#=======================================
#
#name:   28-NI-0(P,X)28-NI-57,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  238
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          23.1          0.9       0.1642       0.0152  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.3%   
          23.1         0.45        0.156        0.024  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.4%  
          23.2          0.9        0.142        0.016  # 2014,N.Amjed+            ## D4301005  #dY:11.3%  
          23.6          0.2        0.156       0.0175  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          23.8          0.9       0.1698       0.0157  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.2%   
          23.8        0.734        0.165      0.00908  # 1997,R.Michel+           ## O0276115  #dY:5.5%   
          23.8         0.45        0.159        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.7%  
          23.9         0.45        0.165        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.2%  
            24          1.3       0.1666       0.0187  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          24.1         0.45         0.16        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.6%  
          24.2          0.1       0.1631       0.0183  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
         24.36         0.45         0.16        0.026  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:16.3%  
          24.4         3.17        0.161       0.0163  # 1997,R.Michel+           ## O0276115  #dY:10.1%  
          24.5        0.718        0.171      0.00891  # 1997,R.Michel+           ## O0276115  #dY:5.2%   
         24.74         0.45        0.154        0.026  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:16.9%  
         24.79         0.45         0.17        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:14.7%  
          24.8         0.02       0.1712       0.0192  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          24.8          0.8       0.1736       0.0195  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          24.9          1.2       0.1755       0.0197  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          25.1          0.5         0.17        0.027  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.9%  
          25.4          0.5        0.176        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:14.2%  
          25.5          0.5        0.174        0.027  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.5%  
          25.7          0.8       0.1845       0.0171  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.3%   
          25.8          1.1       0.1746       0.0196  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
            26          0.5        0.185        0.025  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:13.5%  
          26.2          0.5        0.186        0.027  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:14.5%  
          26.3          0.7       0.1709       0.0192  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
          26.3          0.8       0.1861       0.0172  # 2011,M.U.Khandaker+      ## D7002007  #dY:9.2%   
          26.5          0.5        0.184        0.028  # 2007,F.S.Al-Saleh+       ## O1503005  #dY:15.2%  
          26.7            1       0.1806       0.0203  # 2014,N.Amjed+            ## D4301005  #dY:11.2%  
