#ZVView-data-copy:   3-Feb-2026 17:43:46
#=======================================
#
#name:   29-CU-0(P,X)27-CO-58-G,M+,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  17
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          27.4            0       0.0001         3e-5  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          29.8            0       0.0064      0.00192  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          30.9            0       0.0001         3e-5  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          32.5            0        0.017       0.0051  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          33.5            0        0.028       0.0084  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          33.7            0        0.022       0.0066  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          34.8            0        0.041       0.0123  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          36.6            0        0.044       0.0132  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          36.6            0        0.047       0.0141  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
            37            0         0.09        0.027  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          37.5            0        0.053       0.0159  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          38.7            0        0.062       0.0186  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          39.6            0        0.038       0.0114  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          45.9            0         0.05        0.015  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          53.1            0        0.033       0.0099  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          58.5            0        0.034       0.0102  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          58.7            0        0.023       0.0069  # 1967,I.R.Williams+       ## B0073009  #dY:30.0%  
          35.1          1.9       0.0074       0.0103  # 2016,S.A.Graves+         ## C2243005  #dY:139.2% 
            48          1.6        0.018        0.011  # 2016,S.A.Graves+         ## C2243005  #dY:61.1%  
          58.6          1.4        0.006       0.0058  # 2016,S.A.Graves+         ## C2243005  #dY:96.7%  
          69.1          1.1       0.0124       0.0061  # 2016,S.A.Graves+         ## C2243005  #dY:49.2%  
          78.6          0.9       0.0188       0.0065  # 2016,S.A.Graves+         ## C2243005  #dY:34.6%  
          89.4          0.6       0.0208       0.0052  # 2016,S.A.Graves+         ## C2243005  #dY:25.0%  
          22.4        0.878      1.12e-5      3.15e-6  # 1997,R.Michel+           ## O0276135  #dY:28.1%  
          22.5         3.43     0.000192      2.06e-5  # 1997,R.Michel+           ## O0276135  #dY:10.7%  
          24.1         1.29      1.45e-5      2.25e-6  # 1997,R.Michel+           ## O0276135  #dY:15.5%  
          24.2        0.832      3.49e-5      7.19e-6  # 1997,R.Michel+           ## O0276135  #dY:20.6%  
          24.6        0.837      5.31e-5      5.63e-6  # 1997,R.Michel+           ## O0276135  #dY:10.6%  
          25.3        0.829     0.000259      1.59e-5  # 1997,R.Michel+           ## O0276135  #dY:6.1%   
          25.6        0.834     0.000467      2.58e-5  # 1997,R.Michel+           ## O0276135  #dY:5.5%   
          25.8        0.829     0.000226      2.11e-5  # 1997,R.Michel+           ## O0276135  #dY:9.3%   
          25.9        0.822     0.000466      4.99e-5  # 1997,R.Michel+           ## O0276135  #dY:10.7%  
          26.7        0.802     0.000816      5.25e-5  # 1997,R.Michel+           ## O0276135  #dY:6.4%   
          26.8        0.803      0.00152      8.23e-5  # 1997,R.Michel+           ## O0276135  #dY:5.4%   
            27        0.821      0.00135     0.000105  # 1997,R.Michel+           ## O0276135  #dY:7.8%   
          27.2        0.801      0.00142      0.00011  # 1997,R.Michel+           ## O0276135  #dY:7.7%   
          27.3        0.793      0.00206     0.000115  # 1997,R.Michel+           ## O0276135  #dY:5.6%   
          27.4         1.21      0.00108      7.72e-5  # 1997,R.Michel+           ## O0276135  #dY:7.1%   
          27.8        0.803      0.00398     0.000203  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          27.9          0.8      0.00466     0.000237  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          28.1        0.793      0.00428     0.000226  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          28.6        0.786      0.00526     0.000279  # 1997,R.Michel+           ## O0276135  #dY:5.3%   
          28.9          3.8        0.007       0.0016  # 2002,T.Ido+              ## D4114007  #dY:22.9%  
          29.2         0.78      0.00682     0.000512  # 1997,R.Michel+           ## O0276135  #dY:7.5%   
          30.1        0.763        0.014     0.000728  # 1997,R.Michel+           ## O0276135  #dY:5.2%   
          30.1         0.78       0.0154     0.000786  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
          30.2        0.774       0.0157       0.0008  # 1997,R.Michel+           ## O0276135  #dY:5.1%   
