,cross_section,unc_cross_section
0,0.0,0.0
1,0.0,0.0
2,6.998032278817973e-23,5.645293915343297e-23
3,1.0027209134121072e-25,8.155666853577519e-27
4,9.247233134168278e-26,1.8610357904203607e-26
5,8.409358889199413e-26,4.010097551095386e-27
6,8.586912733922263e-26,3.1702194884662168e-27
7,9.336011575631192e-26,1.669278123620385e-26
8,8.325433047134887e-26,1.1431533213407969e-26
9,5.852880923503009e-26,1.687946518972273e-27
10,2.998004027632178e-26,1.7545843334919467e-27
11,2.796109356021926e-27,1.5478483555668336e-28
12,7.622709560056788e-29,5.436835662715859e-30
13,0.0,0.0
