,cross_section,unc_cross_section
0,1.7495338600598578e-26,5.847576509403412e-28
1,2.4791964722989055e-26,1.0249914973387054e-27
2,3.402488463710095e-26,1.5108903597795132e-27
3,4.6641540662725017e-26,2.0553538794234034e-27
4,5.542408346848956e-26,1.9176867398390176e-27
5,5.467851958325803e-26,2.082175787839629e-27
6,3.9840530057477977e-26,1.3307310776548348e-27
7,4.185758657805971e-26,1.2340710876741324e-27
8,2.649769307009552e-26,8.394289850430287e-28
9,2.6397639829278403e-26,1.0047443178273313e-27
10,5.836400159226802e-26,3.912816631054628e-27
11,2.3109850158947316e-25,1.3771589143093299e-26
12,2.831487208106463e-25,1.7546662657726683e-26
13,1.2246030921165376e-25,8.288214316222248e-27
